epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,8.085040092468262,2.8479061126708984,54.201700369517006,51.588323783874515,1.453125,1.4453125,1.4494974613189697,1.9296875,0.1123046875, phones |  trees | 猫 |  dogs |  birds, rats |  dogs | trees |  beasts |  lords,0.5,0.0,1.0
24,,0.009249681606888771,0.07580909878015518,5.173291015625,5.243831380208333,1.4453125,1.453125,1.4494974613189697,2.015625,0.035400390625, dog | 猫 |  phone |  kitten |  cat, dogs |  cats |  birds |  rabbits |  rats,0.6638655662536621,0.3529411852359772,0.9747899174690247
25,,0.08226481825113297,0.010923454537987709,6.08125,6.0439453125,1.453125,1.4453125,1.4494974613189697,2.015625,0.033203125, dog | 猫 |  phone |  kitten |  cat, dogs |  cats |  rabbits |  birds |  rats,0.6092436909675598,0.22689075767993927,0.9915966391563416
26,,0.01086605153977871,0.04584118351340294,3.111761474609375,2.98885498046875,1.453125,1.453125,1.4494974613189697,2.03125,0.027587890625, dog | 猫 |  kitten |  phone |  cat, dogs |  cats |  birds |  rabbits |  rats,0.668067216873169,0.3445378243923187,0.9915966391563416
27,,0.057684898376464844,0.009516013786196709,4.757373046875,4.763907877604167,1.453125,1.453125,1.4494974613189697,2.03125,0.0225830078125, dog | 猫 |  kitten |  phone |  cat, dogs |  birds |  cats |  rabbits |  rats,0.6344537734985352,0.27731093764305115,0.9915966391563416
28,,0.04834366962313652,0.009120427072048187,5.764943440755208,5.721907552083334,1.4453125,1.453125,1.4494974613189697,2.03125,0.01806640625, dog | 猫 |  kitten |  phone |  cat, dogs |  cats |  birds |  rabbits |  rats,0.6428571343421936,0.29411765933036804,0.9915966391563416
29,,0.02621524967253208,0.020477967336773872,5.3581298828125,5.2979248046875,1.4453125,1.4453125,1.4494974613189697,2.03125,0.01129150390625, dog | 猫 |  kitten |  phone |  cat, dogs |  birds |  cats |  rabbits |  rats,0.6848739385604858,0.3781512677669525,0.9915966391563416
30,,0.027519505470991135,0.022372696548700333,2.9945943196614584,3.0104085286458333,1.453125,1.453125,1.4494974613189697,2.046875,0.009521484375, dog | 猫 |  kitten |  phone |  cat, dogs |  birds |  cats |  rabbits |  rats,0.6890756487846375,0.38655462861061096,0.9915966391563416
31,,0.0061659798957407475,0.04686050862073898,4.179988606770833,4.127042643229166,1.453125,1.453125,1.4494974613189697,2.046875,0.0022735595703125, dog |  kitten | 猫 |  phone |  cat, dogs |  birds |  cats |  rabbits |  rats,0.7142857313156128,0.43697479367256165,0.9915966391563416
32,,0.006398498080670834,0.03782244399189949,4.515380859375,4.501399739583333,1.453125,1.4453125,1.4494974613189697,2.046875,-0.0024566650390625, dog |  kitten | 猫 |  phone |  cat, dogs |  birds |  cats |  rabbits |  rats,0.7142857313156128,0.4285714328289032,1.0
33,,0.053137920796871185,0.008580293506383896,4.235611979166666,4.253291829427083,1.453125,1.453125,1.4494974613189697,2.0625,-0.007568359375, dog |  kitten | 猫 |  phone |  cat, dogs |  birds |  cats |  rabbits |  rats,0.6974790096282959,0.3949579894542694,1.0
34,,0.024845611304044724,0.007960290648043156,2.840043131510417,2.835152180989583,1.453125,1.453125,1.4494974613189697,2.0625,-0.0107421875, dog |  kitten | 猫 |  phone |  cat, dogs |  birds |  cats |  rabbits |  lamps,0.7226890921592712,0.4453781545162201,1.0
35,,0.009742761962115765,0.023125214502215385,3.8147542317708334,3.802587890625,1.453125,1.453125,1.4494974613189697,2.0625,-0.0162353515625, dog |  kitten | 猫 |  phone |  cat, dogs |  birds |  cats |  rabbits | 两只,0.7394958138465881,0.4789915978908539,1.0
36,,0.18203158676624298,0.0007052935543470085,1.9839347839355468,1.9644012451171875,1.453125,1.453125,1.4494974613189697,2.078125,-0.0208740234375, dog |  kitten | 猫 |  phone |  cat, dogs |  cats |  rabbits |  birds | 两只,0.6638655662536621,0.32773110270500183,1.0
37,,0.009491084143519402,0.017231842502951622,5.174885050455729,5.118025716145834,1.453125,1.453125,1.4494974613189697,2.078125,-0.02880859375, dog |  kitten | 猫 |  cat |  phone, dogs |  birds |  cats |  rabbits | 两只,0.743697464466095,0.48739495873451233,1.0
38,,0.006915491074323654,0.032472141087055206,2.95928955078125,2.945937093098958,1.453125,1.453125,1.4494974613189697,2.078125,-0.03369140625, dog |  kitten | 猫 |  phone |  cat, birds |  dogs |  cats |  rabbits | 两只,0.7394958138465881,0.48739495873451233,0.9915966391563416
39,,0.0028328574262559414,0.07774662971496582,3.977076212565104,3.9373372395833335,1.4453125,1.4453125,1.4494974613189697,2.09375,-0.041748046875, dog |  kitten | 猫 |  cat |  phone, birds |  dogs |  cats |  rabbits | 两只,0.7647058963775635,0.5378151535987854,0.9915966391563416
40,,0.046002477407455444,0.003056285437196493,2.9672882080078127,2.996407063802083,1.453125,1.453125,1.4494974613189697,2.09375,-0.044921875, dog |  kitten | 猫 |  cat |  phone, dogs |  birds |  cats |  rabbits | 两只,0.7184873819351196,0.43697479367256165,1.0
41,,0.002878923434764147,0.05255160853266716,2.154150390625,2.1335464477539063,1.453125,1.453125,1.4494974613189697,2.109375,-0.049560546875, dog |  kitten | 猫 |  cat |  phone, birds |  dogs |  cats | 两只 |  rabbits,0.7689075469970703,0.5462185144424438,0.9915966391563416
