split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B
train,1,10,5,The small dogs beneath the trench around the dam,The small dog beneath the trenches around the dams,-1.9313435554504395,-6.8063435554504395,-7.98145055770874,-4.10645055770874,-7.880550384521484,-4.005550384521484
train,0,10,5,The nervous rabbit beneath the chairs around the carts,The nervous rabbits beneath the chair around the cart,-4.826488971710205,-9.076489448547363,-7.462399482727051,-2.712399482727051,-7.451087474822998,-2.826087474822998
train,1,10,5,The nervous rabbits beneath the chair around the cart,The nervous rabbit beneath the chairs around the carts,-2.712399482727051,-7.462399482727051,-9.076489448547363,-4.826488971710205,-8.949177742004395,-4.9491777420043945
train,0,10,5,The slender frog around the towers outside the cabins,The slender frogs around the tower outside the cabin,-6.168182373046875,-9.418182373046875,-7.143815517425537,-2.268815517425537,-7.2903242111206055,-2.4153242111206055
train,1,10,5,The slender frogs around the tower outside the cabin,The slender frog around the towers outside the cabins,-2.268815517425537,-7.143815517425537,-9.418182373046875,-6.168182373046875,-9.294285774230957,-6.169285774230957
train,0,10,5,The bright bat around the columns outside the towers,The bright bats around the column outside the tower,-3.6557812690734863,-6.655781269073486,-3.9688193798065186,-1.8438193798065186,-3.8886444568634033,-1.7636444568634033
train,1,10,5,The bright bats around the column outside the tower,The bright bat around the columns outside the towers,-1.8438193798065186,-3.9688193798065186,-6.655781269073486,-3.6557812690734863,-6.669431686401367,-3.544431686401367
train,0,10,5,The timid rat around the benches outside the windows,The timid rats around the bench outside the window,-15.514134407043457,-17.139135360717773,-13.686201095581055,-9.811201095581055,-13.745380401611328,-9.807880401611328
train,1,10,5,The timid rats around the bench outside the window,The timid rat around the benches outside the windows,-9.811201095581055,-13.686201095581055,-17.139135360717773,-15.514134407043457,-17.207693099975586,-15.582693099975586
train,0,10,5,The quiet rat beneath the columns around the towers,The quiet rats beneath the column around the tower,-4.836826801300049,-8.899327278137207,-6.887451648712158,-3.887451410293579,-6.940150737762451,-3.940150737762451
train,1,10,5,The quiet rats beneath the column around the tower,The quiet rat beneath the columns around the towers,-3.887451410293579,-6.887451648712158,-8.899327278137207,-4.836826801300049,-8.909480094909668,-4.846980571746826
train,0,10,5,The small kit outside the piles behind the rushes,The small kits outside the pile behind the rush,-3.7384753227233887,-7.238475322723389,-5.403834342956543,-4.778834342956543,-5.4405999183654785,-4.8155999183654785
train,1,10,5,The small kits outside the pile behind the rush,The small kit outside the piles behind the rushes,-4.778834342956543,-5.403834342956543,-7.238475322723389,-3.7384753227233887,-7.236959934234619,-3.861959934234619
train,0,10,5,The bright shark behind the valves past the cables,The bright sharks behind the valve past the cable,-19.44666290283203,-20.38416290283203,-19.51788330078125,-18.64288330078125,-19.428905487060547,-18.585155487060547
train,1,10,5,The bright sharks behind the valve past the cable,The bright shark behind the valves past the cables,-18.64288330078125,-19.51788330078125,-20.38416290283203,-19.44666290283203,-20.352685928344727,-19.477685928344727
train,0,10,5,The nervous panda outside the clocks behind the plants,The nervous pandas outside the clock behind the plant,-17.75189971923828,-20.78314971923828,-18.82146453857422,-17.82146453857422,-18.88377571105957,-17.88377571105957
train,1,10,5,The nervous pandas outside the clock behind the plant,The nervous panda outside the clocks behind the plants,-17.82146453857422,-18.82146453857422,-20.78314971923828,-17.75189971923828,-20.751876831054688,-17.751876831054688
train,0,10,5,The slender dolphin past the logs beneath the columns,The slender dolphins past the log beneath the column,-14.885791778564453,-16.823291778564453,-16.889135360717773,-14.32663631439209,-17.01267433166504,-14.387675285339355
train,1,10,5,The slender dolphins past the log beneath the column,The slender dolphin past the logs beneath the columns,-14.32663631439209,-16.889135360717773,-16.823291778564453,-14.885791778564453,-16.699264526367188,-14.699264526367188
train,0,10,5,The fuzzy horse past the vines beneath the trenches,The fuzzy horses past the vine beneath the trench,-8.757235527038574,-12.007235527038574,-8.467629432678223,-8.030129432678223,-8.530056953430176,-8.155056953430176
train,1,10,5,The fuzzy horses past the vine beneath the trench,The fuzzy horse past the vines beneath the trenches,-8.030129432678223,-8.467629432678223,-12.007235527038574,-8.757235527038574,-12.06927490234375,-8.75677490234375
train,0,10,5,The calm lion around the tanks outside the pipes,The calm lions around the tank outside the pipe,-6.150935649871826,-9.150936126708984,-6.861731052398682,-4.611731052398682,-6.863281726837158,-4.613281726837158
train,1,10,5,The calm lions around the tank outside the pipe,The calm lion around the tanks outside the pipes,-4.611731052398682,-6.861731052398682,-9.150936126708984,-6.150935649871826,-9.150629043579102,-6.150628566741943
train,0,10,5,The calm shark past the crates beneath the barrels,The calm sharks past the crate beneath the barrel,-14.577207565307617,-15.827207565307617,-14.17180061340332,-13.10930061340332,-14.049742698669434,-12.987242698669434
train,1,10,5,The calm sharks past the crate beneath the barrel,The calm shark past the crates beneath the barrels,-13.10930061340332,-14.17180061340332,-15.827207565307617,-14.577207565307617,-15.765493392944336,-14.452993392944336
train,0,10,5,The timid dog beneath the columns around the towers,The timid dogs beneath the column around the tower,-12.892573356628418,-14.017573356628418,-15.32725715637207,-12.82725715637207,-15.245739936828613,-12.808239936828613
train,1,10,5,The timid dogs beneath the column around the tower,The timid dog beneath the columns around the towers,-12.82725715637207,-15.32725715637207,-14.017573356628418,-12.892573356628418,-13.999410629272461,-12.874410629272461
train,0,10,5,The small rabbit around the towers outside the cabins,The small rabbits around the tower outside the cabin,-17.20713233947754,-18.89463233947754,-19.10789680480957,-14.26414680480957,-19.135541915893555,-14.291792869567871
train,1,10,5,The small rabbits around the tower outside the cabin,The small rabbit around the towers outside the cabins,-14.26414680480957,-19.10789680480957,-18.89463233947754,-17.20713233947754,-18.8391170501709,-17.2141170501709
train,0,10,5,The small cock around the columns outside the towers,The small cocks around the column outside the tower,-4.297425270080566,-6.172425270080566,-4.901187419891357,-2.5261874198913574,-4.915113925933838,-2.540113925933838
train,1,10,5,The small cocks around the column outside the tower,The small cock around the columns outside the towers,-2.5261874198913574,-4.901187419891357,-6.172425270080566,-4.297425270080566,-6.06320333480835,-4.31320333480835
train,0,10,5,The calm horse beneath the boxes around the walls,The calm horses beneath the box around the wall,-13.730990409851074,-15.980990409851074,-15.542119026184082,-13.917119026184082,-15.419994354248047,-13.919994354248047
train,1,10,5,The calm horses beneath the box around the wall,The calm horse beneath the boxes around the walls,-13.917119026184082,-15.542119026184082,-15.980990409851074,-13.730990409851074,-16.04173469543457,-13.72923469543457
train,0,10,5,The timid dolphin beneath the chairs around the carts,The timid dolphins beneath the chair around the cart,-3.9664273262023926,-7.091427326202393,-7.820792198181152,-2.7582921981811523,-7.922420978546143,-2.7974209785461426
train,1,10,5,The timid dolphins beneath the chair around the cart,The timid dolphin beneath the chairs around the carts,-2.7582921981811523,-7.820792198181152,-7.091427326202393,-3.9664273262023926,-7.0932297706604,-3.9682297706604004
train,0,10,5,The slender turtle beneath the boilers around the tanks,The slender turtles beneath the boiler around the tank,-2.501511335372925,-6.251511096954346,-5.942468643188477,-1.8174688816070557,-5.921858310699463,-1.7968584299087524
train,1,10,5,The slender turtles beneath the boiler around the tank,The slender turtle beneath the boilers around the tanks,-1.8174688816070557,-5.942468643188477,-6.251511096954346,-2.501511335372925,-6.263116359710693,-2.5131163597106934
train,0,10,5,The small kit around the towers outside the cabins,The small kits around the tower outside the cabin,-13.44210433959961,-17.25460433959961,-15.439393997192383,-14.564393997192383,-15.382336616516113,-14.569836616516113
train,1,10,5,The small kits around the tower outside the cabin,The small kit around the towers outside the cabins,-14.564393997192383,-15.439393997192383,-17.25460433959961,-13.44210433959961,-17.31111717224121,-13.529867172241211
train,0,10,5,The calm monitor behind the bolts past the screws,The calm monitors behind the bolt past the screw,-8.395530700683594,-10.395530700683594,-7.749576568603516,-7.374576568603516,-7.918178081512451,-7.480678081512451
train,1,10,5,The calm monitors behind the bolt past the screw,The calm monitor behind the bolts past the screws,-7.374576568603516,-7.749576568603516,-10.395530700683594,-8.395530700683594,-10.148733139038086,-8.273733139038086
train,0,10,5,The fuzzy cow around the towers outside the cabins,The fuzzy cows around the tower outside the cabin,-3.8988003730773926,-7.023800373077393,-6.797617435455322,-2.7976174354553223,-6.780699253082275,-2.9056990146636963
train,1,10,5,The fuzzy cows around the tower outside the cabin,The fuzzy cow around the towers outside the cabins,-2.7976174354553223,-6.797617435455322,-7.023800373077393,-3.8988003730773926,-6.901442050933838,-3.776442289352417
train,0,10,5,The small rabbit beneath the milestones around the thresholds,The small rabbits beneath the milestone around the threshold,-4.306655406951904,-7.056655406951904,-7.810387134552002,-3.435387134552002,-7.857901573181152,-3.4829015731811523
train,1,10,5,The small rabbits beneath the milestone around the threshold,The small rabbit beneath the milestones around the thresholds,-3.435387134552002,-7.810387134552002,-7.056655406951904,-4.306655406951904,-6.949947834014893,-4.324947834014893
train,0,10,5,The timid doe outside the tables behind the houses,The timid does outside the table behind the house,-13.865730285644531,-14.553230285644531,-19.934158325195312,-19.090408325195312,-19.96333122253418,-19.08833122253418
train,1,10,5,The timid does outside the table behind the house,The timid doe outside the tables behind the houses,-19.090408325195312,-19.934158325195312,-14.553230285644531,-13.865730285644531,-14.446555137634277,-13.821555137634277
train,0,10,5,The quiet dog outside the pipes behind the valves,The quiet dogs outside the pipe behind the valve,-12.836592674255371,-14.461592674255371,-11.615608215332031,-10.240608215332031,-11.606683731079102,-10.231683731079102
train,1,10,5,The quiet dogs outside the pipe behind the valve,The quiet dog outside the pipes behind the valves,-10.240608215332031,-11.615608215332031,-14.461592674255371,-12.836592674255371,-14.577004432678223,-12.952004432678223
train,0,10,5,The slender dog behind the cars past the boxes,The slender dogs behind the car past the box,-5.908426761627197,-9.158426284790039,-8.314221382141113,-5.189221382141113,-8.313447952270508,-5.18844747543335
train,1,10,5,The slender dogs behind the car past the box,The slender dog behind the cars past the boxes,-5.189221382141113,-8.314221382141113,-9.158426284790039,-5.908426761627197,-9.2825927734375,-6.032593250274658
train,0,10,5,The bright turtle outside the piles behind the rushes,The bright turtles outside the pile behind the rush,-5.201549530029297,-8.576549530029297,-7.0741190910339355,-5.0741190910339355,-7.029955863952637,-4.967455863952637
train,1,10,5,The bright turtles outside the pile behind the rush,The bright turtle outside the piles behind the rushes,-5.0741190910339355,-7.0741190910339355,-8.576549530029297,-5.201549530029297,-8.696412086486816,-5.196412086486816
train,0,10,5,The calm kitten beneath the milestones around the thresholds,The calm kittens beneath the milestone around the threshold,-5.3416595458984375,-8.654159545898438,-7.134354591369629,-4.634354591369629,-7.228269577026367,-4.728269577026367
train,1,10,5,The calm kittens beneath the milestone around the threshold,The calm kitten beneath the milestones around the thresholds,-4.634354591369629,-7.134354591369629,-8.654159545898438,-5.3416595458984375,-8.493171691894531,-5.243171691894531
train,0,10,5,The bright monitor beneath the logs around the columns,The bright monitors beneath the log around the column,-11.54049015045166,-14.54049015045166,-13.616915702819824,-12.179415702819824,-13.55598258972168,-12.24348258972168
train,1,10,5,The bright monitors beneath the log around the column,The bright monitor beneath the logs around the columns,-12.179415702819824,-13.616915702819824,-14.54049015045166,-11.54049015045166,-14.421629905700684,-11.484129905700684
train,0,10,5,The quiet kitten behind the signs past the nests,The quiet kittens behind the sign past the nest,-15.661918640136719,-18.06816864013672,-16.81964683532715,-15.194646835327148,-16.824060440063477,-15.13655948638916
train,1,10,5,The quiet kittens behind the sign past the nest,The quiet kitten behind the signs past the nests,-15.194646835327148,-16.81964683532715,-18.06816864013672,-15.661918640136719,-17.888412475585938,-15.482162475585938
train,0,10,5,The small lion behind the bolts past the screws,The small lions behind the bolt past the screw,-7.75905179977417,-10.634051322937012,-8.383027076721191,-5.945526599884033,-8.326432228088379,-5.826432228088379
train,1,10,5,The small lions behind the bolt past the screw,The small lion behind the bolts past the screws,-5.945526599884033,-8.383027076721191,-10.634051322937012,-7.75905179977417,-10.509794235229492,-7.75979471206665
train,0,10,5,The fuzzy rat around the carts outside the benches,The fuzzy rats around the cart outside the bench,-3.814363479614258,-5.814363479614258,-6.7922563552856445,-1.7922561168670654,-6.783831596374512,-1.7838315963745117
train,1,10,5,The fuzzy rats around the cart outside the bench,The fuzzy rat around the carts outside the benches,-1.7922561168670654,-6.7922563552856445,-5.814363479614258,-3.814363479614258,-5.711804389953613,-3.7118043899536133
train,0,10,5,The slender lion outside the piles behind the rushes,The slender lions outside the pile behind the rush,-14.315935134887695,-17.159685134887695,-14.047959327697754,-13.266709327697754,-14.047959327697754,-13.266709327697754
train,1,10,5,The slender lions outside the pile behind the rush,The slender lion outside the piles behind the rushes,-13.266709327697754,-14.047959327697754,-17.159685134887695,-14.315935134887695,-17.159685134887695,-14.315935134887695
train,0,10,5,The fuzzy lion behind the valves past the cables,The fuzzy lions behind the valve past the cable,-8.129700660705566,-11.692200660705566,-7.906889915466309,-6.406889915466309,-7.786781311035156,-6.286781311035156
train,1,10,5,The fuzzy lions behind the valve past the cable,The fuzzy lion behind the valves past the cables,-6.406889915466309,-7.906889915466309,-11.692200660705566,-8.129700660705566,-11.629590034484863,-8.254590034484863
train,0,10,5,The nervous kit behind the windows past the crates,The nervous kits behind the window past the crate,-7.637086868286133,-10.512086868286133,-7.1563262939453125,-6.7813262939453125,-7.402411460876465,-6.902411460876465
train,1,10,5,The nervous kits behind the window past the crate,The nervous kit behind the windows past the crates,-6.7813262939453125,-7.1563262939453125,-10.512086868286133,-7.637086868286133,-10.451026916503906,-7.513526439666748
train,0,10,5,The nervous turtle behind the rushes past the vines,The nervous turtles behind the rush past the vine,-10.526712417602539,-11.651712417602539,-7.934553623199463,-6.934553623199463,-7.803915977478027,-6.866415977478027
train,1,10,5,The nervous turtles behind the rush past the vine,The nervous turtle behind the rushes past the vines,-6.934553623199463,-7.934553623199463,-11.651712417602539,-10.526712417602539,-11.402024269104004,-10.464524269104004
train,0,10,5,The nervous dog beneath the columns around the towers,The nervous dogs beneath the column around the tower,-4.723110198974609,-8.91061019897461,-6.490792274475098,-3.3657922744750977,-6.392816066741943,-3.2678160667419434
train,1,10,5,The nervous dogs beneath the column around the tower,The nervous dog beneath the columns around the towers,-3.3657922744750977,-6.490792274475098,-8.91061019897461,-4.723110198974609,-8.927262306213379,-4.739762783050537
train,0,10,5,The small kit around the walls outside the tables,The small kits around the wall outside the table,-4.003457069396973,-6.128457069396973,-6.264639377593994,-3.5146396160125732,-6.374172210693359,-3.6241724491119385
train,1,10,5,The small kits around the wall outside the table,The small kit around the walls outside the tables,-3.5146396160125732,-6.264639377593994,-6.128457069396973,-4.003457069396973,-6.239371299743652,-4.114371299743652
train,0,10,5,The sleepy monitor beneath the boxes around the walls,The sleepy monitors beneath the box around the wall,-4.9758734703063965,-8.225872993469238,-7.046168327331543,-3.796168088912964,-7.15818452835083,-3.90818452835083
train,1,10,5,The sleepy monitors beneath the box around the wall,The sleepy monitor beneath the boxes around the walls,-3.796168088912964,-7.046168327331543,-8.225872993469238,-4.9758734703063965,-8.23024845123291,-4.980248928070068
train,0,10,5,The nervous shark around the thresholds outside the drums,The nervous sharks around the threshold outside the drum,-18.603809356689453,-19.072559356689453,-16.819522857666016,-14.069523811340332,-16.870834350585938,-14.152085304260254
train,1,10,5,The nervous sharks around the threshold outside the drum,The nervous shark around the thresholds outside the drums,-14.069523811340332,-16.819522857666016,-19.072559356689453,-18.603809356689453,-18.918006896972656,-18.449256896972656
train,0,10,5,The quiet panda behind the signs past the nests,The quiet pandas behind the sign past the nest,-13.584795951843262,-15.334795951843262,-14.331148147583008,-12.393648147583008,-14.273333549499512,-12.398333549499512
train,1,10,5,The quiet pandas behind the sign past the nest,The quiet panda behind the signs past the nests,-12.393648147583008,-14.331148147583008,-15.334795951843262,-13.584795951843262,-15.150699615478516,-13.400699615478516
train,0,10,5,The calm panda around the tanks outside the pipes,The calm pandas around the tank outside the pipe,-6.145187854766846,-8.895188331604004,-6.69279670715332,-5.06779670715332,-6.689502239227295,-5.189502239227295
train,1,10,5,The calm pandas around the tank outside the pipe,The calm panda around the tanks outside the pipes,-5.06779670715332,-6.69279670715332,-8.895188331604004,-6.145187854766846,-8.89547348022461,-6.145473480224609
train,0,10,5,The bright rat behind the pans past the cars,The bright rats behind the pan past the car,-8.381829261779785,-11.319329261779785,-7.79509973526001,-6.29509973526001,-7.793759346008301,-6.293759346008301
train,1,10,5,The bright rats behind the pan past the car,The bright rat behind the pans past the cars,-6.29509973526001,-7.79509973526001,-11.319329261779785,-8.381829261779785,-11.13231372833252,-8.50731372833252
train,0,10,5,The fuzzy bat behind the clocks past the plants,The fuzzy bats behind the clock past the plant,-15.634387016296387,-17.63438606262207,-16.13715934753418,-15.949658393859863,-16.199026107788086,-16.011526107788086
train,1,10,5,The fuzzy bats behind the clock past the plant,The fuzzy bat behind the clocks past the plants,-15.949658393859863,-16.13715934753418,-17.63438606262207,-15.634387016296387,-17.4486083984375,-15.5111083984375
train,0,10,5,The timid rat behind the signs past the nests,The timid rats behind the sign past the nest,-5.838524341583252,-8.713523864746094,-9.059107780456543,-4.059107303619385,-9.220894813537598,-4.158394813537598
train,1,10,5,The timid rats behind the sign past the nest,The timid rat behind the signs past the nests,-4.059107303619385,-9.059107780456543,-8.713523864746094,-5.838524341583252,-8.581018447875977,-5.956018447875977
train,0,10,5,The timid cow around the benches outside the windows,The timid cows around the bench outside the window,-12.062496185302734,-13.124996185302734,-13.789281845092773,-9.414281845092773,-13.792527198791504,-9.417527198791504
train,1,10,5,The timid cows around the bench outside the window,The timid cow around the benches outside the windows,-9.414281845092773,-13.789281845092773,-13.124996185302734,-12.062496185302734,-13.124258041381836,-12.061758041381836
train,0,10,5,The slender bat behind the cabins past the signs,The slender bats behind the cabin past the sign,-6.917474269866943,-9.042473793029785,-8.336543083190918,-6.274043560028076,-8.495525360107422,-6.245525360107422
train,1,10,5,The slender bats behind the cabin past the sign,The slender bat behind the cabins past the signs,-6.274043560028076,-8.336543083190918,-9.042473793029785,-6.917474269866943,-9.042924880981445,-7.0429253578186035
train,0,10,5,The quiet pup around the thresholds outside the drums,The quiet pups around the threshold outside the drum,-7.403085708618164,-9.965585708618164,-5.971950054168701,-5.221950054168701,-5.912698745727539,-5.287698745727539
train,1,10,5,The quiet pups around the threshold outside the drum,The quiet pup around the thresholds outside the drums,-5.221950054168701,-5.971950054168701,-9.965585708618164,-7.403085708618164,-9.96324348449707,-7.525743007659912
train,0,10,5,The fuzzy frog past the chairs beneath the carts,The fuzzy frogs past the chair beneath the cart,-8.258271217346191,-10.695771217346191,-7.5919084548950195,-6.0919084548950195,-7.711928367614746,-6.211928367614746
train,1,10,5,The fuzzy frogs past the chair beneath the cart,The fuzzy frog past the chairs beneath the carts,-6.0919084548950195,-7.5919084548950195,-10.695771217346191,-8.258271217346191,-10.757871627807617,-8.257871627807617
train,0,10,5,The sleepy rat around the stools outside the clocks,The sleepy rats around the stool outside the clock,-12.15506362915039,-13.15506362915039,-13.502792358398438,-10.627792358398438,-13.625077247619629,-10.687577247619629
train,1,10,5,The sleepy rats around the stool outside the clock,The sleepy rat around the stools outside the clocks,-10.627792358398438,-13.502792358398438,-13.15506362915039,-12.15506362915039,-13.09339714050293,-12.09339714050293
train,0,10,5,The bright monitor outside the cabins behind the signs,The bright monitors outside the cabin behind the sign,-4.958846092224121,-7.583846092224121,-7.7011871337890625,-3.6386871337890625,-7.637759208679199,-3.637759208679199
train,1,10,5,The bright monitors outside the cabin behind the sign,The bright monitor outside the cabins behind the signs,-3.6386871337890625,-7.7011871337890625,-7.583846092224121,-4.958846092224121,-7.582493782043457,-4.957493782043457
train,0,10,5,The slender monitor around the carts outside the benches,The slender monitors around the cart outside the bench,-1.845761775970459,-4.470761775970459,-7.088278770446777,-0.9632785320281982,-6.988642692565918,-0.9886428117752075
