idx,distractors,condition,good,bad
64,2,subj_sg_d1_pl_d2_pl,The [wug] past the women and near the men is happy.,The [wug] past the women and near the men are happy.
65,2,subj_pl_d1_sg_d2_sg,The [wugs] past the woman and near the man are happy.,The [wugs] past the woman and near the man is happy.
66,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] past the women, near the men, and behind the foxes is happy.","The [wug] past the women, near the men, and behind the foxes are happy."
67,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] past the woman, near the man, and behind the fox are happy.","The [wugs] past the woman, near the man, and behind the fox is happy."
68,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] past the women, near the men, behind the foxes, and under the birds is happy.","The [wug] past the women, near the men, behind the foxes, and under the birds are happy."
69,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] past the woman, near the man, behind the fox, and under the bird are happy.","The [wugs] past the woman, near the man, behind the fox, and under the bird is happy."
70,0,subj_sg,The [wug] is happy.,The [wug] are happy.
71,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
72,1,subj_sg_d1_pl,The [wug] near the men is happy.,The [wug] near the men are happy.
73,1,subj_pl_d1_sg,The [wugs] near the man are happy.,The [wugs] near the man is happy.
74,2,subj_sg_d1_pl_d2_pl,The [wug] near the men and behind the foxes is happy.,The [wug] near the men and behind the foxes are happy.
75,2,subj_pl_d1_sg_d2_sg,The [wugs] near the man and behind the fox are happy.,The [wugs] near the man and behind the fox is happy.
76,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the men, behind the foxes, and under the birds is happy.","The [wug] near the men, behind the foxes, and under the birds are happy."
77,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the man, behind the fox, and under the bird are happy.","The [wugs] near the man, behind the fox, and under the bird is happy."
78,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the men, behind the foxes, under the birds, and beside the trees is happy.","The [wug] near the men, behind the foxes, under the birds, and beside the trees are happy."
79,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the man, behind the fox, under the bird, and beside the tree are happy.","The [wugs] near the man, behind the fox, under the bird, and beside the tree is happy."
80,0,subj_sg,The [wug] is happy.,The [wug] are happy.
81,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
82,1,subj_sg_d1_pl,The [wug] behind the foxes is happy.,The [wug] behind the foxes are happy.
83,1,subj_pl_d1_sg,The [wugs] behind the fox are happy.,The [wugs] behind the fox is happy.
84,2,subj_sg_d1_pl_d2_pl,The [wug] behind the foxes and under the birds is happy.,The [wug] behind the foxes and under the birds are happy.
85,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the fox and under the bird are happy.,The [wugs] behind the fox and under the bird is happy.
86,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the foxes, under the birds, and beside the trees is happy.","The [wug] behind the foxes, under the birds, and beside the trees are happy."
87,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the fox, under the bird, and beside the tree are happy.","The [wugs] behind the fox, under the bird, and beside the tree is happy."
88,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars is happy.","The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars are happy."
89,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the fox, under the bird, beside the tree, and in front of the car are happy.","The [wugs] behind the fox, under the bird, beside the tree, and in front of the car is happy."
90,0,subj_sg,The [wug] is happy.,The [wug] are happy.
91,0,subj_pl,The [wugs] are happy.,The [wugs] is happy.
92,1,subj_sg_d1_pl,The [wug] under the birds is happy.,The [wug] under the birds are happy.
93,1,subj_pl_d1_sg,The [wugs] under the bird are happy.,The [wugs] under the bird is happy.
94,2,subj_sg_d1_pl_d2_pl,The [wug] under the birds and beside the trees is happy.,The [wug] under the birds and beside the trees are happy.
95,2,subj_pl_d1_sg_d2_sg,The [wugs] under the bird and beside the tree are happy.,The [wugs] under the bird and beside the tree is happy.
96,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the birds, beside the trees, and in front of the cars is happy.","The [wug] under the birds, beside the trees, and in front of the cars are happy."
97,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the bird, beside the tree, and in front of the car are happy.","The [wugs] under the bird, beside the tree, and in front of the car is happy."
98,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes is happy.","The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes are happy."
99,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the bird, beside the tree, in front of the car, and next to the box are happy.","The [wugs] under the bird, beside the tree, in front of the car, and next to the box is happy."
100,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
101,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
102,1,subj_sg_d1_pl,The [wug] near the trees was sleeping.,The [wug] near the trees were sleeping.
103,1,subj_pl_d1_sg,The [wugs] near the tree were sleeping.,The [wugs] near the tree was sleeping.
104,2,subj_sg_d1_pl_d2_pl,The [wug] near the trees and behind the cars was sleeping.,The [wug] near the trees and behind the cars were sleeping.
105,2,subj_pl_d1_sg_d2_sg,The [wugs] near the tree and behind the car were sleeping.,The [wugs] near the tree and behind the car was sleeping.
106,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the trees, behind the cars, and under the boxes was sleeping.","The [wug] near the trees, behind the cars, and under the boxes were sleeping."
107,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the tree, behind the car, and under the box were sleeping.","The [wugs] near the tree, behind the car, and under the box was sleeping."
108,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the trees, behind the cars, under the boxes, and beside the cats was sleeping.","The [wug] near the trees, behind the cars, under the boxes, and beside the cats were sleeping."
109,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the tree, behind the car, under the box, and beside the cat were sleeping.","The [wugs] near the tree, behind the car, under the box, and beside the cat was sleeping."
110,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
111,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
112,1,subj_sg_d1_pl,The [wug] behind the cars was sleeping.,The [wug] behind the cars were sleeping.
113,1,subj_pl_d1_sg,The [wugs] behind the car were sleeping.,The [wugs] behind the car was sleeping.
114,2,subj_sg_d1_pl_d2_pl,The [wug] behind the cars and under the boxes was sleeping.,The [wug] behind the cars and under the boxes were sleeping.
115,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the car and under the box were sleeping.,The [wugs] behind the car and under the box was sleeping.
116,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the cars, under the boxes, and beside the cats was sleeping.","The [wug] behind the cars, under the boxes, and beside the cats were sleeping."
117,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the car, under the box, and beside the cat were sleeping.","The [wugs] behind the car, under the box, and beside the cat was sleeping."
118,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs was sleeping.","The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs were sleeping."
119,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the car, under the box, beside the cat, and in front of the dog were sleeping.","The [wugs] behind the car, under the box, beside the cat, and in front of the dog was sleeping."
120,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
121,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
122,1,subj_sg_d1_pl,The [wug] under the boxes was sleeping.,The [wug] under the boxes were sleeping.
123,1,subj_pl_d1_sg,The [wugs] under the box were sleeping.,The [wugs] under the box was sleeping.
124,2,subj_sg_d1_pl_d2_pl,The [wug] under the boxes and beside the cats was sleeping.,The [wug] under the boxes and beside the cats were sleeping.
125,2,subj_pl_d1_sg_d2_sg,The [wugs] under the box and beside the cat were sleeping.,The [wugs] under the box and beside the cat was sleeping.
126,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the boxes, beside the cats, and in front of the dogs was sleeping.","The [wug] under the boxes, beside the cats, and in front of the dogs were sleeping."
127,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the box, beside the cat, and in front of the dog were sleeping.","The [wugs] under the box, beside the cat, and in front of the dog was sleeping."
128,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses was sleeping.","The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses were sleeping."
129,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the box, beside the cat, in front of the dog, and next to the horse were sleeping.","The [wugs] under the box, beside the cat, in front of the dog, and next to the horse was sleeping."
130,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
131,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
132,1,subj_sg_d1_pl,The [wug] beside the cats was sleeping.,The [wug] beside the cats were sleeping.
133,1,subj_pl_d1_sg,The [wugs] beside the cat were sleeping.,The [wugs] beside the cat was sleeping.
134,2,subj_sg_d1_pl_d2_pl,The [wug] beside the cats and in front of the dogs was sleeping.,The [wug] beside the cats and in front of the dogs were sleeping.
135,2,subj_pl_d1_sg_d2_sg,The [wugs] beside the cat and in front of the dog were sleeping.,The [wugs] beside the cat and in front of the dog was sleeping.
136,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] beside the cats, in front of the dogs, and next to the horses was sleeping.","The [wug] beside the cats, in front of the dogs, and next to the horses were sleeping."
137,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] beside the cat, in front of the dog, and next to the horse were sleeping.","The [wugs] beside the cat, in front of the dog, and next to the horse was sleeping."
138,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] beside the cats, in front of the dogs, next to the horses, and past the women was sleeping.","The [wug] beside the cats, in front of the dogs, next to the horses, and past the women were sleeping."
139,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman were sleeping.","The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman was sleeping."
140,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
141,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
142,1,subj_sg_d1_pl,The [wug] in front of the dogs was sleeping.,The [wug] in front of the dogs were sleeping.
143,1,subj_pl_d1_sg,The [wugs] in front of the dog were sleeping.,The [wugs] in front of the dog was sleeping.
144,2,subj_sg_d1_pl_d2_pl,The [wug] in front of the dogs and next to the horses was sleeping.,The [wug] in front of the dogs and next to the horses were sleeping.
145,2,subj_pl_d1_sg_d2_sg,The [wugs] in front of the dog and next to the horse were sleeping.,The [wugs] in front of the dog and next to the horse was sleeping.
146,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] in front of the dogs, next to the horses, and past the women was sleeping.","The [wug] in front of the dogs, next to the horses, and past the women were sleeping."
147,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] in front of the dog, next to the horse, and past the woman were sleeping.","The [wugs] in front of the dog, next to the horse, and past the woman was sleeping."
148,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] in front of the dogs, next to the horses, past the women, and near the men was sleeping.","The [wug] in front of the dogs, next to the horses, past the women, and near the men were sleeping."
149,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] in front of the dog, next to the horse, past the woman, and near the man were sleeping.","The [wugs] in front of the dog, next to the horse, past the woman, and near the man was sleeping."
150,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
151,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
152,1,subj_sg_d1_pl,The [wug] next to the horses was sleeping.,The [wug] next to the horses were sleeping.
153,1,subj_pl_d1_sg,The [wugs] next to the horse were sleeping.,The [wugs] next to the horse was sleeping.
154,2,subj_sg_d1_pl_d2_pl,The [wug] next to the horses and past the women was sleeping.,The [wug] next to the horses and past the women were sleeping.
155,2,subj_pl_d1_sg_d2_sg,The [wugs] next to the horse and past the woman were sleeping.,The [wugs] next to the horse and past the woman was sleeping.
156,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] next to the horses, past the women, and near the men was sleeping.","The [wug] next to the horses, past the women, and near the men were sleeping."
157,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] next to the horse, past the woman, and near the man were sleeping.","The [wugs] next to the horse, past the woman, and near the man was sleeping."
158,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] next to the horses, past the women, near the men, and behind the foxes was sleeping.","The [wug] next to the horses, past the women, near the men, and behind the foxes were sleeping."
159,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] next to the horse, past the woman, near the man, and behind the fox were sleeping.","The [wugs] next to the horse, past the woman, near the man, and behind the fox was sleeping."
160,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
161,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
162,1,subj_sg_d1_pl,The [wug] past the women was sleeping.,The [wug] past the women were sleeping.
163,1,subj_pl_d1_sg,The [wugs] past the woman were sleeping.,The [wugs] past the woman was sleeping.
164,2,subj_sg_d1_pl_d2_pl,The [wug] past the women and near the men was sleeping.,The [wug] past the women and near the men were sleeping.
165,2,subj_pl_d1_sg_d2_sg,The [wugs] past the woman and near the man were sleeping.,The [wugs] past the woman and near the man was sleeping.
166,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] past the women, near the men, and behind the foxes was sleeping.","The [wug] past the women, near the men, and behind the foxes were sleeping."
167,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] past the woman, near the man, and behind the fox were sleeping.","The [wugs] past the woman, near the man, and behind the fox was sleeping."
168,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] past the women, near the men, behind the foxes, and under the birds was sleeping.","The [wug] past the women, near the men, behind the foxes, and under the birds were sleeping."
169,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] past the woman, near the man, behind the fox, and under the bird were sleeping.","The [wugs] past the woman, near the man, behind the fox, and under the bird was sleeping."
170,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
171,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
172,1,subj_sg_d1_pl,The [wug] near the men was sleeping.,The [wug] near the men were sleeping.
173,1,subj_pl_d1_sg,The [wugs] near the man were sleeping.,The [wugs] near the man was sleeping.
174,2,subj_sg_d1_pl_d2_pl,The [wug] near the men and behind the foxes was sleeping.,The [wug] near the men and behind the foxes were sleeping.
175,2,subj_pl_d1_sg_d2_sg,The [wugs] near the man and behind the fox were sleeping.,The [wugs] near the man and behind the fox was sleeping.
176,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the men, behind the foxes, and under the birds was sleeping.","The [wug] near the men, behind the foxes, and under the birds were sleeping."
177,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the man, behind the fox, and under the bird were sleeping.","The [wugs] near the man, behind the fox, and under the bird was sleeping."
178,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the men, behind the foxes, under the birds, and beside the trees was sleeping.","The [wug] near the men, behind the foxes, under the birds, and beside the trees were sleeping."
179,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the man, behind the fox, under the bird, and beside the tree were sleeping.","The [wugs] near the man, behind the fox, under the bird, and beside the tree was sleeping."
180,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
181,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
182,1,subj_sg_d1_pl,The [wug] behind the foxes was sleeping.,The [wug] behind the foxes were sleeping.
183,1,subj_pl_d1_sg,The [wugs] behind the fox were sleeping.,The [wugs] behind the fox was sleeping.
184,2,subj_sg_d1_pl_d2_pl,The [wug] behind the foxes and under the birds was sleeping.,The [wug] behind the foxes and under the birds were sleeping.
185,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the fox and under the bird were sleeping.,The [wugs] behind the fox and under the bird was sleeping.
186,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the foxes, under the birds, and beside the trees was sleeping.","The [wug] behind the foxes, under the birds, and beside the trees were sleeping."
187,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the fox, under the bird, and beside the tree were sleeping.","The [wugs] behind the fox, under the bird, and beside the tree was sleeping."
188,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars was sleeping.","The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars were sleeping."
189,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the fox, under the bird, beside the tree, and in front of the car were sleeping.","The [wugs] behind the fox, under the bird, beside the tree, and in front of the car was sleeping."
190,0,subj_sg,The [wug] was sleeping.,The [wug] were sleeping.
191,0,subj_pl,The [wugs] were sleeping.,The [wugs] was sleeping.
192,1,subj_sg_d1_pl,The [wug] under the birds was sleeping.,The [wug] under the birds were sleeping.
193,1,subj_pl_d1_sg,The [wugs] under the bird were sleeping.,The [wugs] under the bird was sleeping.
194,2,subj_sg_d1_pl_d2_pl,The [wug] under the birds and beside the trees was sleeping.,The [wug] under the birds and beside the trees were sleeping.
195,2,subj_pl_d1_sg_d2_sg,The [wugs] under the bird and beside the tree were sleeping.,The [wugs] under the bird and beside the tree was sleeping.
196,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the birds, beside the trees, and in front of the cars was sleeping.","The [wug] under the birds, beside the trees, and in front of the cars were sleeping."
197,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the bird, beside the tree, and in front of the car were sleeping.","The [wugs] under the bird, beside the tree, and in front of the car was sleeping."
198,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes was sleeping.","The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes were sleeping."
199,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the bird, beside the tree, in front of the car, and next to the box were sleeping.","The [wugs] under the bird, beside the tree, in front of the car, and next to the box was sleeping."
200,0,subj_sg,The [wug] has arrived.,The [wug] have arrived.
201,0,subj_pl,The [wugs] have arrived.,The [wugs] has arrived.
202,1,subj_sg_d1_pl,The [wug] near the trees has arrived.,The [wug] near the trees have arrived.
203,1,subj_pl_d1_sg,The [wugs] near the tree have arrived.,The [wugs] near the tree has arrived.
204,2,subj_sg_d1_pl_d2_pl,The [wug] near the trees and behind the cars has arrived.,The [wug] near the trees and behind the cars have arrived.
205,2,subj_pl_d1_sg_d2_sg,The [wugs] near the tree and behind the car have arrived.,The [wugs] near the tree and behind the car has arrived.
206,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the trees, behind the cars, and under the boxes has arrived.","The [wug] near the trees, behind the cars, and under the boxes have arrived."
207,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the tree, behind the car, and under the box have arrived.","The [wugs] near the tree, behind the car, and under the box has arrived."
208,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the trees, behind the cars, under the boxes, and beside the cats has arrived.","The [wug] near the trees, behind the cars, under the boxes, and beside the cats have arrived."
