idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl
24,train,verb,0,target_verb_att0_opp,dolphin,dolphins,streams,stream,The warm dolphin,The warm dolphins,The warm dolphin streams,The warm dolphin stream,The warm dolphins stream,The warm dolphins streams,4,4
25,train,verb,0,target_verb_att0_opp,frog,frogs,dreams,dream,The happy frog,The happy frogs,The happy frog dreams,The happy frog dream,The happy frogs dream,The happy frogs dreams,4,4
26,train,verb,0,target_verb_att0_opp,bear,bears,pushes,push,The glossy bear,The glossy bears,The glossy bear pushes,The glossy bear push,The glossy bears push,The glossy bears pushes,4,4
27,train,verb,0,target_verb_att0_opp,turtle,turtles,eats,eat,The quiet turtle,The quiet turtles,The quiet turtle eats,The quiet turtle eat,The quiet turtles eat,The quiet turtles eats,4,4
28,train,verb,0,target_verb_att0_opp,worm,worms,grabs,grab,The loud worm,The loud worms,The loud worm grabs,The loud worm grab,The loud worms grab,The loud worms grabs,4,4
29,train,verb,0,target_verb_att0_opp,turtle,turtles,spins,spin,The glossy turtle,The glossy turtles,The glossy turtle spins,The glossy turtle spin,The glossy turtles spin,The glossy turtles spins,4,4
30,train,verb,0,target_verb_att0_opp,turtle,turtles,flows,flow,The sluggish turtle,The sluggish turtles,The sluggish turtle flows,The sluggish turtle flow,The sluggish turtles flow,The sluggish turtles flows,4,4
31,train,verb,0,target_verb_att0_opp,panda,pandas,plays,play,The blue panda,The blue pandas,The blue panda plays,The blue panda play,The blue pandas play,The blue pandas plays,4,4
32,train,verb,0,target_verb_att0_opp,goat,goats,dashes,dash,The green goat,The green goats,The green goat dashes,The green goat dash,The green goats dash,The green goats dashes,4,4
33,train,verb,0,target_verb_att0_opp,turtle,turtles,probes,probe,The slow turtle,The slow turtles,The slow turtle probes,The slow turtle probe,The slow turtles probe,The slow turtles probes,4,4
34,train,verb,0,target_verb_att0_opp,whale,whales,dances,dance,The cool whale,The cool whales,The cool whale dances,The cool whale dance,The cool whales dance,The cool whales dances,4,4
35,train,verb,0,target_verb_att0_opp,puppy,puppies,digs,dig,The tidy puppy,The tidy puppies,The tidy puppy digs,The tidy puppy dig,The tidy puppies dig,The tidy puppies digs,4,4
36,train,verb,0,target_verb_att0_opp,goat,goats,laps,lap,The happy goat,The happy goats,The happy goat laps,The happy goat lap,The happy goats lap,The happy goats laps,4,4
37,train,verb,0,target_verb_att0_opp,panda,pandas,rests,rest,The green panda,The green pandas,The green panda rests,The green panda rest,The green pandas rest,The green pandas rests,4,4
38,train,verb,0,target_verb_att0_opp,whale,whales,scratches,scratch,The strong whale,The strong whales,The strong whale scratches,The strong whale scratch,The strong whales scratch,The strong whales scratches,4,4
39,train,verb,0,target_verb_att0_opp,panda,pandas,lowers,lower,The strong panda,The strong pandas,The strong panda lowers,The strong panda lower,The strong pandas lower,The strong pandas lowers,4,4
40,train,verb,0,target_verb_att0_opp,monitor,monitors,laps,lap,The mighty monitor,The mighty monitors,The mighty monitor laps,The mighty monitor lap,The mighty monitors lap,The mighty monitors laps,4,4
41,train,verb,0,target_verb_att0_opp,panda,pandas,ranges,range,The mature panda,The mature pandas,The mature panda ranges,The mature panda range,The mature pandas range,The mature pandas ranges,4,4
42,train,verb,0,target_verb_att0_opp,bear,bears,skips,skip,The red bear,The red bears,The red bear skips,The red bear skip,The red bears skip,The red bears skips,4,4
43,train,verb,0,target_verb_att0_opp,turtle,turtles,rolls,roll,The orange turtle,The orange turtles,The orange turtle rolls,The orange turtle roll,The orange turtles roll,The orange turtles rolls,4,4
44,train,verb,0,target_verb_att0_opp,calf,calves,leans,lean,The wide calf,The wide calves,The wide calf leans,The wide calf lean,The wide calves lean,The wide calves leans,4,4
45,train,verb,0,target_verb_att0_opp,calf,calves,hides,hide,The joyful calf,The joyful calves,The joyful calf hides,The joyful calf hide,The joyful calves hide,The joyful calves hides,4,4
46,train,verb,0,target_verb_att0_opp,tick,ticks,dreams,dream,The sad tick,The sad ticks,The sad tick dreams,The sad tick dream,The sad ticks dream,The sad ticks dreams,4,4
47,train,verb,0,target_verb_att0_opp,spider,spiders,leaps,leap,The crimson spider,The crimson spiders,The crimson spider leaps,The crimson spider leap,The crimson spiders leap,The crimson spiders leaps,4,4
48,train,verb,0,target_verb_att0_opp,pup,pups,arises,arise,The rough pup,The rough pups,The rough pup arises,The rough pup arise,The rough pups arise,The rough pups arises,4,4
49,train,verb,0,target_verb_att0_opp,goat,goats,waits,wait,The sluggish goat,The sluggish goats,The sluggish goat waits,The sluggish goat wait,The sluggish goats wait,The sluggish goats waits,4,4
50,train,verb,0,target_verb_att0_opp,bird,birds,drinks,drink,The quick bird,The quick birds,The quick bird drinks,The quick bird drink,The quick birds drink,The quick birds drinks,4,4
51,train,verb,0,target_verb_att0_opp,lion,lions,reads,read,The wide lion,The wide lions,The wide lion reads,The wide lion read,The wide lions read,The wide lions reads,4,4
52,train,verb,0,target_verb_att0_opp,bear,bears,eats,eat,The slow bear,The slow bears,The slow bear eats,The slow bear eat,The slow bears eat,The slow bears eats,4,4
53,train,verb,0,target_verb_att0_opp,calf,calves,wakes,wake,The giant calf,The giant calves,The giant calf wakes,The giant calf wake,The giant calves wake,The giant calves wakes,4,4
54,train,verb,0,target_verb_att0_opp,goat,goats,drops,drop,The slow goat,The slow goats,The slow goat drops,The slow goat drop,The slow goats drop,The slow goats drops,4,4
55,train,verb,0,target_verb_att0_opp,bat,bats,dashes,dash,The strong bat,The strong bats,The strong bat dashes,The strong bat dash,The strong bats dash,The strong bats dashes,4,4
56,train,verb,0,target_verb_att0_opp,whale,whales,leans,lean,The tame whale,The tame whales,The tame whale leans,The tame whale lean,The tame whales lean,The tame whales leans,4,4
57,train,verb,0,target_verb_att0_opp,calf,calves,drinks,drink,The blue calf,The blue calves,The blue calf drinks,The blue calf drink,The blue calves drink,The blue calves drinks,4,4
58,train,verb,0,target_verb_att0_opp,monitor,monitors,drinks,drink,The dull monitor,The dull monitors,The dull monitor drinks,The dull monitor drink,The dull monitors drink,The dull monitors drinks,4,4
59,train,verb,0,target_verb_att0_opp,puppy,puppies,surfaces,surface,The strong puppy,The strong puppies,The strong puppy surfaces,The strong puppy surface,The strong puppies surface,The strong puppies surfaces,4,4
60,train,verb,0,target_verb_att0_opp,spider,spiders,wakes,wake,The pale spider,The pale spiders,The pale spider wakes,The pale spider wake,The pale spiders wake,The pale spiders wakes,4,4
61,train,verb,0,target_verb_att0_opp,worm,worms,digs,dig,The vivid worm,The vivid worms,The vivid worm digs,The vivid worm dig,The vivid worms dig,The vivid worms digs,4,4
62,train,verb,0,target_verb_att0_opp,bird,birds,lowers,lower,The narrow bird,The narrow birds,The narrow bird lowers,The narrow bird lower,The narrow birds lower,The narrow birds lowers,4,4
63,train,verb,0,target_verb_att0_opp,seal,seals,streams,stream,The crimson seal,The crimson seals,The crimson seal streams,The crimson seal stream,The crimson seals stream,The crimson seals streams,4,4
64,train,verb,0,target_verb_att0_opp,seal,seals,drinks,drink,The coarse seal,The coarse seals,The coarse seal drinks,The coarse seal drink,The coarse seals drink,The coarse seals drinks,4,4
65,train,verb,0,target_verb_att0_opp,seal,seals,ranges,range,The bold seal,The bold seals,The bold seal ranges,The bold seal range,The bold seals range,The bold seals ranges,4,4
66,train,verb,0,target_verb_att0_opp,frog,frogs,wakes,wake,The silky frog,The silky frogs,The silky frog wakes,The silky frog wake,The silky frogs wake,The silky frogs wakes,4,4
67,train,verb,0,target_verb_att0_opp,kit,kits,skips,skip,The quick kit,The quick kits,The quick kit skips,The quick kit skip,The quick kits skip,The quick kits skips,4,4
68,train,verb,0,target_verb_att0_opp,monitor,monitors,eats,eat,The joyful monitor,The joyful monitors,The joyful monitor eats,The joyful monitor eat,The joyful monitors eat,The joyful monitors eats,4,4
69,train,verb,0,target_verb_att0_opp,panda,pandas,waits,wait,The fierce panda,The fierce pandas,The fierce panda waits,The fierce panda wait,The fierce pandas wait,The fierce pandas waits,4,4
70,train,verb,0,target_verb_att0_opp,cat,cats,skips,skip,The merry cat,The merry cats,The merry cat skips,The merry cat skip,The merry cats skip,The merry cats skips,4,4
71,train,verb,0,target_verb_att0_opp,monitor,monitors,rotates,rotate,The fast monitor,The fast monitors,The fast monitor rotates,The fast monitor rotate,The fast monitors rotate,The fast monitors rotates,4,4
72,train,verb,0,target_verb_att0_opp,goat,goats,shelters,shelter,The merry goat,The merry goats,The merry goat shelters,The merry goat shelter,The merry goats shelter,The merry goats shelters,4,4
73,train,verb,0,target_verb_att0_opp,cat,cats,arises,arise,The quick cat,The quick cats,The quick cat arises,The quick cat arise,The quick cats arise,The quick cats arises,4,4
74,train,verb,0,target_verb_att0_opp,monitor,monitors,probes,probe,The tame monitor,The tame monitors,The tame monitor probes,The tame monitor probe,The tame monitors probe,The tame monitors probes,4,4
75,train,verb,0,target_verb_att0_opp,goat,goats,grabs,grab,The pale goat,The pale goats,The pale goat grabs,The pale goat grab,The pale goats grab,The pale goats grabs,4,4
76,train,verb,0,target_verb_att0_opp,tick,ticks,eats,eat,The soft tick,The soft ticks,The soft tick eats,The soft tick eat,The soft ticks eat,The soft ticks eats,4,4
77,train,verb,0,target_verb_att0_opp,whale,whales,reels,reel,The coarse whale,The coarse whales,The coarse whale reels,The coarse whale reel,The coarse whales reel,The coarse whales reels,4,4
78,train,verb,0,target_verb_att0_opp,dolphin,dolphins,scratches,scratch,The silky dolphin,The silky dolphins,The silky dolphin scratches,The silky dolphin scratch,The silky dolphins scratch,The silky dolphins scratches,4,4
79,train,verb,0,target_verb_att0_opp,pup,pups,runs,run,The bold pup,The bold pups,The bold pup runs,The bold pup run,The bold pups run,The bold pups runs,4,4
80,train,verb,0,target_verb_att0_opp,lion,lions,rolls,roll,The yellow lion,The yellow lions,The yellow lion rolls,The yellow lion roll,The yellow lions roll,The yellow lions rolls,4,4
81,train,verb,0,target_verb_att0_opp,bear,bears,reads,read,The giant bear,The giant bears,The giant bear reads,The giant bear read,The giant bears read,The giant bears reads,4,4
82,train,verb,0,target_verb_att0_opp,whale,whales,plays,play,The swift whale,The swift whales,The swift whale plays,The swift whale play,The swift whales play,The swift whales plays,4,4
83,train,verb,0,target_verb_att0_opp,bird,birds,laps,lap,The warm bird,The warm birds,The warm bird laps,The warm bird lap,The warm birds lap,The warm birds laps,4,4
84,train,verb,0,target_verb_att0_opp,lion,lions,charges,charge,The glossy lion,The glossy lions,The glossy lion charges,The glossy lion charge,The glossy lions charge,The glossy lions charges,4,4
85,train,verb,0,target_verb_att0_opp,monitor,monitors,reads,read,The quick monitor,The quick monitors,The quick monitor reads,The quick monitor read,The quick monitors read,The quick monitors reads,4,4
86,train,verb,0,target_verb_att0_opp,cat,cats,leaps,leap,The orange cat,The orange cats,The orange cat leaps,The orange cat leap,The orange cats leap,The orange cats leaps,4,4
87,train,verb,0,target_verb_att0_opp,bat,bats,advances,advance,The smooth bat,The smooth bats,The smooth bat advances,The smooth bat advance,The smooth bats advance,The smooth bats advances,4,4
88,train,verb,0,target_verb_att0_opp,bat,bats,drinks,drink,The robust bat,The robust bats,The robust bat drinks,The robust bat drink,The robust bats drink,The robust bats drinks,4,4
89,train,verb,0,target_verb_att0_opp,turtle,turtles,rotates,rotate,The juvenile turtle,The juvenile turtles,The juvenile turtle rotates,The juvenile turtle rotate,The juvenile turtles rotate,The juvenile turtles rotates,4,4
90,train,verb,0,target_verb_att0_opp,goat,goats,digs,dig,The brisk goat,The brisk goats,The brisk goat digs,The brisk goat dig,The brisk goats dig,The brisk goats digs,4,4
91,train,verb,0,target_verb_att0_opp,tick,ticks,plays,play,The rough tick,The rough ticks,The rough tick plays,The rough tick play,The rough ticks play,The rough ticks plays,4,4
92,train,verb,0,target_verb_att0_opp,dolphin,dolphins,dashes,dash,The yellow dolphin,The yellow dolphins,The yellow dolphin dashes,The yellow dolphin dash,The yellow dolphins dash,The yellow dolphins dashes,4,4
93,train,verb,0,target_verb_att0_opp,spider,spiders,arises,arise,The swift spider,The swift spiders,The swift spider arises,The swift spider arise,The swift spiders arise,The swift spiders arises,4,4
94,train,verb,0,target_verb_att0_opp,bat,bats,surfaces,surface,The mighty bat,The mighty bats,The mighty bat surfaces,The mighty bat surface,The mighty bats surface,The mighty bats surfaces,4,4
95,train,verb,0,target_verb_att0_opp,worm,worms,waits,wait,The pale worm,The pale worms,The pale worm waits,The pale worm wait,The pale worms wait,The pale worms waits,4,4
96,train,verb,0,target_verb_att0_opp,spider,spiders,rotates,rotate,The noisy spider,The noisy spiders,The noisy spider rotates,The noisy spider rotate,The noisy spiders rotate,The noisy spiders rotates,4,4
97,train,verb,0,target_verb_att0_opp,calf,calves,waits,wait,The fast calf,The fast calves,The fast calf waits,The fast calf wait,The fast calves wait,The fast calves waits,4,4
98,train,verb,0,target_verb_att0_opp,puppy,puppies,stretches,stretch,The bald puppy,The bald puppies,The bald puppy stretches,The bald puppy stretch,The bald puppies stretch,The bald puppies stretches,4,4
99,train,verb,0,target_verb_att0_opp,monitor,monitors,grabs,grab,The bold monitor,The bold monitors,The bold monitor grabs,The bold monitor grab,The bold monitors grab,The bold monitors grabs,4,4
100,train,verb,0,target_verb_att0_opp,pup,pups,bounds,bound,The quick pup,The quick pups,The quick pup bounds,The quick pup bound,The quick pups bound,The quick pups bounds,4,4
101,train,verb,0,target_verb_att0_opp,dolphin,dolphins,drops,drop,The quick dolphin,The quick dolphins,The quick dolphin drops,The quick dolphin drop,The quick dolphins drop,The quick dolphins drops,4,4
102,train,verb,0,target_verb_att0_opp,kit,kits,digs,dig,The pale kit,The pale kits,The pale kit digs,The pale kit dig,The pale kits dig,The pale kits digs,4,4
103,train,verb,0,target_verb_att0_opp,seal,seals,waits,wait,The small seal,The small seals,The small seal waits,The small seal wait,The small seals wait,The small seals waits,4,4
104,train,verb,0,target_verb_att0_opp,dog,dogs,reels,reel,The giant dog,The giant dogs,The giant dog reels,The giant dog reel,The giant dogs reel,The giant dogs reels,4,4
105,train,verb,0,target_verb_att0_opp,monitor,monitors,charges,charge,The weak monitor,The weak monitors,The weak monitor charges,The weak monitor charge,The weak monitors charge,The weak monitors charges,4,4
106,train,verb,0,target_verb_att0_opp,bird,birds,hunts,hunt,The green bird,The green birds,The green bird hunts,The green bird hunt,The green birds hunt,The green birds hunts,4,4
107,train,verb,0,target_verb_att0_opp,dolphin,dolphins,rolls,roll,The fluffy dolphin,The fluffy dolphins,The fluffy dolphin rolls,The fluffy dolphin roll,The fluffy dolphins roll,The fluffy dolphins rolls,4,4
108,train,verb,0,target_verb_att0_opp,bat,bats,stretches,stretch,The sluggish bat,The sluggish bats,The sluggish bat stretches,The sluggish bat stretch,The sluggish bats stretch,The sluggish bats stretches,4,4
109,train,verb,0,target_verb_att0_opp,bat,bats,shelters,shelter,The bold bat,The bold bats,The bold bat shelters,The bold bat shelter,The bold bats shelter,The bold bats shelters,4,4
110,train,verb,0,target_verb_att0_opp,goat,goats,feeds,feed,The rough goat,The rough goats,The rough goat feeds,The rough goat feed,The rough goats feed,The rough goats feeds,4,4
111,train,verb,0,target_verb_att0_opp,monitor,monitors,reels,reel,The frail monitor,The frail monitors,The frail monitor reels,The frail monitor reel,The frail monitors reel,The frail monitors reels,4,4
112,train,verb,0,target_verb_att0_opp,seal,seals,rotates,rotate,The amber seal,The amber seals,The amber seal rotates,The amber seal rotate,The amber seals rotate,The amber seals rotates,4,4
113,train,verb,0,target_verb_att0_opp,turtle,turtles,arises,arise,The old turtle,The old turtles,The old turtle arises,The old turtle arise,The old turtles arise,The old turtles arises,4,4
114,train,verb,0,target_verb_att0_opp,calf,calves,runs,run,The crimson calf,The crimson calves,The crimson calf runs,The crimson calf run,The crimson calves run,The crimson calves runs,4,4
115,train,verb,0,target_verb_att0_opp,calf,calves,dances,dance,The amber calf,The amber calves,The amber calf dances,The amber calf dance,The amber calves dance,The amber calves dances,4,4
116,train,verb,0,target_verb_att0_opp,goat,goats,reads,read,The hot goat,The hot goats,The hot goat reads,The hot goat read,The hot goats read,The hot goats reads,4,4
117,train,verb,0,target_verb_att0_opp,dog,dogs,bounds,bound,The merry dog,The merry dogs,The merry dog bounds,The merry dog bound,The merry dogs bound,The merry dogs bounds,4,4
118,train,verb,0,target_verb_att0_opp,bear,bears,hides,hide,The minor bear,The minor bears,The minor bear hides,The minor bear hide,The minor bears hide,The minor bears hides,4,4
119,train,verb,0,target_verb_att0_opp,dog,dogs,plays,play,The tame dog,The tame dogs,The tame dog plays,The tame dog play,The tame dogs play,The tame dogs plays,4,4
120,train,verb,0,target_verb_att0_opp,bird,birds,bounds,bound,The orange bird,The orange birds,The orange bird bounds,The orange bird bound,The orange birds bound,The orange birds bounds,4,4
121,train,verb,0,target_verb_att0_opp,pup,pups,roots,root,The quiet pup,The quiet pups,The quiet pup roots,The quiet pup root,The quiet pups root,The quiet pups roots,4,4
122,train,verb,0,target_verb_att0_opp,seal,seals,leaps,leap,The minor seal,The minor seals,The minor seal leaps,The minor seal leap,The minor seals leap,The minor seals leaps,4,4
123,train,verb,0,target_verb_att0_opp,whale,whales,spins,spin,The silky whale,The silky whales,The silky whale spins,The silky whale spin,The silky whales spin,The silky whales spins,4,4
124,train,verb,0,target_verb_att0_opp,whale,whales,leaps,leap,The rough whale,The rough whales,The rough whale leaps,The rough whale leap,The rough whales leap,The rough whales leaps,4,4
125,train,verb,0,target_verb_att0_opp,whale,whales,dreams,dream,The mighty whale,The mighty whales,The mighty whale dreams,The mighty whale dream,The mighty whales dream,The mighty whales dreams,4,4
126,train,verb,0,target_verb_att0_opp,puppy,puppies,drops,drop,The frail puppy,The frail puppies,The frail puppy drops,The frail puppy drop,The frail puppies drop,The frail puppies drops,4,4
127,train,verb,0,target_verb_att0_opp,dog,dogs,flows,flow,The loud dog,The loud dogs,The loud dog flows,The loud dog flow,The loud dogs flow,The loud dogs flows,4,4
128,train,verb,0,target_verb_att0_opp,bat,bats,leans,lean,The weak bat,The weak bats,The weak bat leans,The weak bat lean,The weak bats lean,The weak bats leans,4,4
129,train,verb,0,target_verb_att0_opp,bat,bats,roots,root,The frail bat,The frail bats,The frail bat roots,The frail bat root,The frail bats root,The frail bats roots,4,4
130,train,verb,0,target_verb_att0_opp,kit,kits,shelters,shelter,The red kit,The red kits,The red kit shelters,The red kit shelter,The red kits shelter,The red kits shelters,4,4
131,train,verb,0,target_verb_att0_opp,spider,spiders,shelters,shelter,The quiet spider,The quiet spiders,The quiet spider shelters,The quiet spider shelter,The quiet spiders shelter,The quiet spiders shelters,4,4
132,train,verb,0,target_verb_att0_opp,bear,bears,streams,stream,The vivid bear,The vivid bears,The vivid bear streams,The vivid bear stream,The vivid bears stream,The vivid bears streams,4,4
133,train,verb,0,target_verb_att0_opp,dolphin,dolphins,leans,lean,The orange dolphin,The orange dolphins,The orange dolphin leans,The orange dolphin lean,The orange dolphins lean,The orange dolphins leans,4,4
134,train,verb,0,target_verb_att0_opp,puppy,puppies,waits,wait,The muddy puppy,The muddy puppies,The muddy puppy waits,The muddy puppy wait,The muddy puppies wait,The muddy puppies waits,4,4
135,train,verb,0,target_verb_att0_opp,lion,lions,hides,hide,The red lion,The red lions,The red lion hides,The red lion hide,The red lions hide,The red lions hides,4,4
136,train,verb,0,target_verb_att0_opp,puppy,puppies,spins,spin,The graceful puppy,The graceful puppies,The graceful puppy spins,The graceful puppy spin,The graceful puppies spin,The graceful puppies spins,4,4
137,train,verb,0,target_verb_att0_opp,monitor,monitors,advances,advance,The noisy monitor,The noisy monitors,The noisy monitor advances,The noisy monitor advance,The noisy monitors advance,The noisy monitors advances,4,4
138,train,verb,0,target_verb_att0_opp,tick,ticks,charges,charge,The orange tick,The orange ticks,The orange tick charges,The orange tick charge,The orange ticks charge,The orange ticks charges,4,4
139,train,verb,0,target_verb_att0_opp,worm,worms,bounds,bound,The warm worm,The warm worms,The warm worm bounds,The warm worm bound,The warm worms bound,The warm worms bounds,4,4
140,train,verb,0,target_verb_att0_opp,monitor,monitors,plays,play,The warm monitor,The warm monitors,The warm monitor plays,The warm monitor play,The warm monitors play,The warm monitors plays,4,4
141,train,verb,0,target_verb_att0_opp,turtle,turtles,dashes,dash,The sad turtle,The sad turtles,The sad turtle dashes,The sad turtle dash,The sad turtles dash,The sad turtles dashes,4,4
142,train,verb,0,target_verb_att0_opp,spider,spiders,scratches,scratch,The sad spider,The sad spiders,The sad spider scratches,The sad spider scratch,The sad spiders scratch,The sad spiders scratches,4,4
143,train,verb,0,target_verb_att0_opp,tick,ticks,sings,sing,The brisk tick,The brisk ticks,The brisk tick sings,The brisk tick sing,The brisk ticks sing,The brisk ticks sings,4,4
144,train,verb,0,target_verb_att0_opp,frog,frogs,skips,skip,The tame frog,The tame frogs,The tame frog skips,The tame frog skip,The tame frogs skip,The tame frogs skips,4,4
145,train,verb,0,target_verb_att0_opp,monitor,monitors,skips,skip,The loud monitor,The loud monitors,The loud monitor skips,The loud monitor skip,The loud monitors skip,The loud monitors skips,4,4
146,train,verb,0,target_verb_att0_opp,pup,pups,rotates,rotate,The dull pup,The dull pups,The dull pup rotates,The dull pup rotate,The dull pups rotate,The dull pups rotates,4,4
147,train,verb,0,target_verb_att0_opp,lion,lions,scratches,scratch,The green lion,The green lions,The green lion scratches,The green lion scratch,The green lions scratch,The green lions scratches,4,4
148,train,verb,0,target_verb_att0_opp,whale,whales,reads,read,The elderly whale,The elderly whales,The elderly whale reads,The elderly whale read,The elderly whales read,The elderly whales reads,4,4
149,train,verb,0,target_verb_att0_opp,pup,pups,feeds,feed,The old pup,The old pups,The old pup feeds,The old pup feed,The old pups feed,The old pups feeds,4,4
150,train,verb,0,target_verb_att0_opp,ray,rays,charges,charge,The soft ray,The soft rays,The soft ray charges,The soft ray charge,The soft rays charge,The soft rays charges,4,4
151,train,verb,0,target_verb_att0_opp,seal,seals,rests,rest,The warm seal,The warm seals,The warm seal rests,The warm seal rest,The warm seals rest,The warm seals rests,4,4
152,train,verb,0,target_verb_att0_opp,goat,goats,sings,sing,The cool goat,The cool goats,The cool goat sings,The cool goat sing,The cool goats sing,The cool goats sings,4,4
153,train,verb,0,target_verb_att0_opp,dolphin,dolphins,dreams,dream,The glossy dolphin,The glossy dolphins,The glossy dolphin dreams,The glossy dolphin dream,The glossy dolphins dream,The glossy dolphins dreams,4,4
154,train,verb,0,target_verb_att0_opp,calf,calves,flows,flow,The dull calf,The dull calves,The dull calf flows,The dull calf flow,The dull calves flow,The dull calves flows,4,4
155,train,verb,0,target_verb_att0_opp,worm,worms,hides,hide,The hairy worm,The hairy worms,The hairy worm hides,The hairy worm hide,The hairy worms hide,The hairy worms hides,4,4
156,train,verb,0,target_verb_att0_opp,ray,rays,wakes,wake,The quick ray,The quick rays,The quick ray wakes,The quick ray wake,The quick rays wake,The quick rays wakes,4,4
157,train,verb,0,target_verb_att0_opp,calf,calves,leaps,leap,The quick calf,The quick calves,The quick calf leaps,The quick calf leap,The quick calves leap,The quick calves leaps,4,4
158,train,verb,0,target_verb_att0_opp,calf,calves,advances,advance,The rough calf,The rough calves,The rough calf advances,The rough calf advance,The rough calves advance,The rough calves advances,4,4
159,train,verb,0,target_verb_att0_opp,dog,dogs,stretches,stretch,The wild dog,The wild dogs,The wild dog stretches,The wild dog stretch,The wild dogs stretch,The wild dogs stretches,4,4
