idx,target_type,attractors,target_num,condition,subject_word,target_word,base_sentence,good,bad,tok_len
71,verb,0,sg,target_verb_num_sg_att0_pl,snail,walks,The orange snail,The orange snail walks,The orange snail walk,5
72,verb,0,sg,target_verb_num_sg_att0_pl,puffin,dashes,The robust puffin,The robust puffin dashes,The robust puffin dash,5
73,verb,0,pl,target_verb_num_pl_att0_sg,crows,stamp,The rapid crows,The rapid crows stamp,The rapid crows stamps,5
74,verb,0,pl,target_verb_num_pl_att0_sg,foxs,walk,The orange foxs,The orange foxs walk,The orange foxs walks,5
75,verb,0,sg,target_verb_num_sg_att0_pl,weevil,probes,The bald weevil,The bald weevil probes,The bald weevil probe,5
76,verb,0,sg,target_verb_num_sg_att0_pl,thrush,sings,The kindly thrush,The kindly thrush sings,The kindly thrush sing,5
77,verb,0,pl,target_verb_num_pl_att0_sg,camels,scratch,The shiny camels,The shiny camels scratch,The shiny camels scratches,5
78,verb,0,pl,target_verb_num_pl_att0_sg,bulls,wheel,The jolly bulls,The jolly bulls wheel,The jolly bulls wheels,5
79,verb,0,pl,target_verb_num_pl_att0_sg,voles,dance,The chilly voles,The chilly voles dance,The chilly voles dances,5
80,verb,0,sg,target_verb_num_sg_att0_pl,eel,leaps,The chubby eel,The chubby eel leaps,The chubby eel leap,5
81,verb,0,pl,target_verb_num_pl_att0_sg,voles,return,The furry voles,The furry voles return,The furry voles returns,5
82,verb,0,pl,target_verb_num_pl_att0_sg,gazelles,stride,The clean gazelles,The clean gazelles stride,The clean gazelles strides,5
83,verb,0,pl,target_verb_num_pl_att0_sg,egrets,push,The loyal egrets,The loyal egrets push,The loyal egrets pushes,5
84,verb,0,pl,target_verb_num_pl_att0_sg,zebras,hide,The soft zebras,The soft zebras hide,The soft zebras hides,5
85,verb,0,sg,target_verb_num_sg_att0_pl,ewe,mounts,The calm ewe,The calm ewe mounts,The calm ewe mount,5
86,verb,0,pl,target_verb_num_pl_att0_sg,starlings,scale,The messy starlings,The messy starlings scale,The messy starlings scales,5
87,verb,0,pl,target_verb_num_pl_att0_sg,trouts,wait,The social trouts,The social trouts wait,The social trouts waits,5
88,verb,0,sg,target_verb_num_sg_att0_pl,dove,banks,The somber dove,The somber dove banks,The somber dove bank,5
89,verb,0,pl,target_verb_num_pl_att0_sg,tahrs,work,The tangled tahrs,The tangled tahrs work,The tangled tahrs works,5
90,verb,0,pl,target_verb_num_pl_att0_sg,hares,run,The weary hares,The weary hares run,The weary hares runs,5
91,verb,0,sg,target_verb_num_sg_att0_pl,warbler,surfaces,The constant warbler,The constant warbler surfaces,The constant warbler surface,5
92,verb,0,pl,target_verb_num_pl_att0_sg,squirrels,hide,The soft squirrels,The soft squirrels hide,The soft squirrels hides,5
93,verb,0,pl,target_verb_num_pl_att0_sg,hyenas,stay,The fragile hyenas,The fragile hyenas stay,The fragile hyenas stays,5
94,verb,0,pl,target_verb_num_pl_att0_sg,jaguars,stamp,The dirty jaguars,The dirty jaguars stamp,The dirty jaguars stamps,5
95,verb,0,pl,target_verb_num_pl_att0_sg,quolls,coil,The steady quolls,The steady quolls coil,The steady quolls coils,5
96,verb,0,pl,target_verb_num_pl_att0_sg,eagles,mount,The tidy eagles,The tidy eagles mount,The tidy eagles mounts,5
97,verb,0,pl,target_verb_num_pl_att0_sg,turkeys,bolt,The mature turkeys,The mature turkeys bolt,The mature turkeys bolts,5
98,verb,0,pl,target_verb_num_pl_att0_sg,voles,climb,The hard voles,The hard voles climb,The hard voles climbs,5
99,verb,0,sg,target_verb_num_sg_att0_pl,finch,eats,The warm finch,The warm finch eats,The warm finch eat,5
100,verb,0,sg,target_verb_num_sg_att0_pl,gazelle,nests,The dark gazelle,The dark gazelle nests,The dark gazelle nest,5
101,verb,0,sg,target_verb_num_sg_att0_pl,otter,reads,The mild otter,The mild otter reads,The mild otter read,5
102,verb,0,sg,target_verb_num_sg_att0_pl,bull,trails,The meek bull,The meek bull trails,The meek bull trail,5
103,verb,0,pl,target_verb_num_pl_att0_sg,jackals,rush,The sturdy jackals,The sturdy jackals rush,The sturdy jackals rushes,5
104,verb,0,pl,target_verb_num_pl_att0_sg,ewes,stay,The quick ewes,The quick ewes stay,The quick ewes stays,5
105,verb,0,pl,target_verb_num_pl_att0_sg,basss,charge,The wise basss,The wise basss charge,The wise basss charges,5
106,verb,0,sg,target_verb_num_sg_att0_pl,locust,mounts,The tidy locust,The tidy locust mounts,The tidy locust mount,5
107,verb,0,pl,target_verb_num_pl_att0_sg,hawks,charge,The gray hawks,The gray hawks charge,The gray hawks charges,5
108,verb,0,sg,target_verb_num_sg_att0_pl,jaguar,probes,The bald jaguar,The bald jaguar probes,The bald jaguar probe,5
109,verb,0,pl,target_verb_num_pl_att0_sg,stoats,stretch,The glossy stoats,The glossy stoats stretch,The glossy stoats stretches,5
110,verb,0,sg,target_verb_num_sg_att0_pl,adder,scales,The twisted adder,The twisted adder scales,The twisted adder scale,5
111,verb,0,sg,target_verb_num_sg_att0_pl,snail,springs,The white snail,The white snail springs,The white snail spring,5
112,verb,0,sg,target_verb_num_sg_att0_pl,cricket,dreams,The grimy cricket,The grimy cricket dreams,The grimy cricket dream,5
113,verb,0,pl,target_verb_num_pl_att0_sg,does,sail,The glum does,The glum does sail,The glum does sails,5
114,verb,0,pl,target_verb_num_pl_att0_sg,lizards,float,The coarse lizards,The coarse lizards float,The coarse lizards floats,5
115,verb,0,sg,target_verb_num_sg_att0_pl,octopus,springs,The foolish octopus,The foolish octopus springs,The foolish octopus spring,5
116,verb,0,sg,target_verb_num_sg_att0_pl,bobcat,walks,The youthful bobcat,The youthful bobcat walks,The youthful bobcat walk,5
117,verb,0,pl,target_verb_num_pl_att0_sg,hornets,gather,The lean hornets,The lean hornets gather,The lean hornets gathers,5
118,verb,0,pl,target_verb_num_pl_att0_sg,skinks,trail,The limp skinks,The limp skinks trail,The limp skinks trails,5
119,verb,0,pl,target_verb_num_pl_att0_sg,camels,climb,The hard camels,The hard camels climb,The hard camels climbs,5
120,verb,0,pl,target_verb_num_pl_att0_sg,beavers,sleep,The cold beavers,The cold beavers sleep,The cold beavers sleeps,5
121,verb,0,pl,target_verb_num_pl_att0_sg,skunks,wake,The sleek skunks,The sleek skunks wake,The sleek skunks wakes,5
122,verb,0,sg,target_verb_num_sg_att0_pl,cobra,springs,The foolish cobra,The foolish cobra springs,The foolish cobra spring,5
123,verb,0,sg,target_verb_num_sg_att0_pl,vulture,pushes,The loyal vulture,The loyal vulture pushes,The loyal vulture push,5
124,verb,0,pl,target_verb_num_pl_att0_sg,donkeys,rock,The old donkeys,The old donkeys rock,The old donkeys rocks,5
125,verb,0,sg,target_verb_num_sg_att0_pl,ibis,pushes,The loyal ibis,The loyal ibis pushes,The loyal ibis push,5
126,verb,0,sg,target_verb_num_sg_att0_pl,gnat,stretches,The secret gnat,The secret gnat stretches,The secret gnat stretch,5
127,verb,0,sg,target_verb_num_sg_att0_pl,buzzard,coils,The steady buzzard,The steady buzzard coils,The steady buzzard coil,5
128,verb,0,pl,target_verb_num_pl_att0_sg,skunks,nod,The aged skunks,The aged skunks nod,The aged skunks nods,5
129,verb,0,pl,target_verb_num_pl_att0_sg,badgers,drink,The bold badgers,The bold badgers drink,The bold badgers drinks,5
130,verb,0,sg,target_verb_num_sg_att0_pl,peacock,races,The frail peacock,The frail peacock races,The frail peacock race,5
131,verb,0,pl,target_verb_num_pl_att0_sg,crabs,stay,The quick crabs,The quick crabs stay,The quick crabs stays,5
132,verb,0,sg,target_verb_num_sg_att0_pl,herring,advances,The glowing herring,The glowing herring advances,The glowing herring advance,5
133,verb,0,pl,target_verb_num_pl_att0_sg,oysters,jump,The wary oysters,The wary oysters jump,The wary oysters jumps,5
134,verb,0,pl,target_verb_num_pl_att0_sg,barnacles,spring,The foolish barnacles,The foolish barnacles spring,The foolish barnacles springs,5
135,verb,0,sg,target_verb_num_sg_att0_pl,penguin,reads,The lonely penguin,The lonely penguin reads,The lonely penguin read,5
136,verb,0,sg,target_verb_num_sg_att0_pl,starfish,reads,The lonely starfish,The lonely starfish reads,The lonely starfish read,5
137,verb,0,sg,target_verb_num_sg_att0_pl,termite,pauses,The obvious termite,The obvious termite pauses,The obvious termite pause,5
138,verb,0,pl,target_verb_num_pl_att0_sg,wasps,bolt,The brown wasps,The brown wasps bolt,The brown wasps bolts,5
139,verb,0,sg,target_verb_num_sg_att0_pl,shrew,laps,The timid shrew,The timid shrew laps,The timid shrew lap,5
140,verb,0,sg,target_verb_num_sg_att0_pl,starfish,stretches,The secret starfish,The secret starfish stretches,The secret starfish stretch,5
141,verb,0,pl,target_verb_num_pl_att0_sg,hamsters,work,The icy hamsters,The icy hamsters work,The icy hamsters works,5
142,verb,0,sg,target_verb_num_sg_att0_pl,ewe,tunnels,The loud ewe,The loud ewe tunnels,The loud ewe tunnel,5
143,verb,0,sg,target_verb_num_sg_att0_pl,possum,dives,The dull possum,The dull possum dives,The dull possum dive,5
144,verb,0,pl,target_verb_num_pl_att0_sg,sparrows,jump,The joyful sparrows,The joyful sparrows jump,The joyful sparrows jumps,5
145,verb,0,pl,target_verb_num_pl_att0_sg,skinks,remain,The rocky skinks,The rocky skinks remain,The rocky skinks remains,5
146,verb,0,sg,target_verb_num_sg_att0_pl,colt,coils,The merry colt,The merry colt coils,The merry colt coil,5
147,verb,0,pl,target_verb_num_pl_att0_sg,moths,root,The noisy moths,The noisy moths root,The noisy moths roots,5
148,verb,0,pl,target_verb_num_pl_att0_sg,buzzards,claw,The solid buzzards,The solid buzzards claw,The solid buzzards claws,5
149,verb,0,pl,target_verb_num_pl_att0_sg,termites,return,The stout termites,The stout termites return,The stout termites returns,5
150,verb,0,pl,target_verb_num_pl_att0_sg,colts,race,The bronze colts,The bronze colts race,The bronze colts races,5
151,verb,0,pl,target_verb_num_pl_att0_sg,sows,track,The shy sows,The shy sows track,The shy sows tracks,5
152,verb,0,sg,target_verb_num_sg_att0_pl,beaver,eats,The warm beaver,The warm beaver eats,The warm beaver eat,5
153,verb,0,pl,target_verb_num_pl_att0_sg,colts,spring,The white colts,The white colts spring,The white colts springs,5
154,verb,0,sg,target_verb_num_sg_att0_pl,raven,swims,The cruel raven,The cruel raven swims,The cruel raven swim,5
155,verb,0,sg,target_verb_num_sg_att0_pl,hamster,bolts,The mature hamster,The mature hamster bolts,The mature hamster bolt,5
156,verb,0,sg,target_verb_num_sg_att0_pl,starling,rocks,The old starling,The old starling rocks,The old starling rock,5
157,verb,0,pl,target_verb_num_pl_att0_sg,hawks,spin,The blue hawks,The blue hawks spin,The blue hawks spins,5
158,verb,0,pl,target_verb_num_pl_att0_sg,ravens,trail,The limp ravens,The limp ravens trail,The limp ravens trails,5
159,verb,0,sg,target_verb_num_sg_att0_pl,adder,rocks,The busy adder,The busy adder rocks,The busy adder rock,5
160,verb,0,pl,target_verb_num_pl_att0_sg,moles,spin,The blue moles,The blue moles spin,The blue moles spins,5
161,verb,0,sg,target_verb_num_sg_att0_pl,chameleon,bolts,The eager chameleon,The eager chameleon bolts,The eager chameleon bolt,5
162,verb,0,pl,target_verb_num_pl_att0_sg,starlings,stride,The clean starlings,The clean starlings stride,The clean starlings strides,5
163,verb,0,sg,target_verb_num_sg_att0_pl,tahr,pushes,The loyal tahr,The loyal tahr pushes,The loyal tahr push,5
164,verb,0,sg,target_verb_num_sg_att0_pl,otter,floats,The coarse otter,The coarse otter floats,The coarse otter float,5
165,verb,0,pl,target_verb_num_pl_att0_sg,voles,work,The icy voles,The icy voles work,The icy voles works,5
166,verb,0,sg,target_verb_num_sg_att0_pl,hare,curls,The gloomy hare,The gloomy hare curls,The gloomy hare curl,5
167,verb,0,sg,target_verb_num_sg_att0_pl,gopher,rolls,The faded gopher,The faded gopher rolls,The faded gopher roll,5
168,verb,0,pl,target_verb_num_pl_att0_sg,prawns,march,The diligent prawns,The diligent prawns march,The diligent prawns marches,5
169,verb,0,sg,target_verb_num_sg_att0_pl,herring,waits,The social herring,The social herring waits,The social herring wait,5
170,verb,0,pl,target_verb_num_pl_att0_sg,crows,claw,The tame crows,The tame crows claw,The tame crows claws,5
171,verb,0,sg,target_verb_num_sg_att0_pl,skink,springs,The foolish skink,The foolish skink springs,The foolish skink spring,5
172,verb,0,pl,target_verb_num_pl_att0_sg,perchs,pause,The obvious perchs,The obvious perchs pause,The obvious perchs pauses,5
173,verb,0,pl,target_verb_num_pl_att0_sg,quolls,rock,The sour quolls,The sour quolls rock,The sour quolls rocks,5
174,verb,0,sg,target_verb_num_sg_att0_pl,octopus,nods,The idle octopus,The idle octopus nods,The idle octopus nod,5
175,verb,0,pl,target_verb_num_pl_att0_sg,cobras,roll,The blatant cobras,The blatant cobras roll,The blatant cobras rolls,5
176,verb,0,pl,target_verb_num_pl_att0_sg,carps,arrive,The sandy carps,The sandy carps arrive,The sandy carps arrives,5
177,verb,0,pl,target_verb_num_pl_att0_sg,mussels,nod,The idle mussels,The idle mussels nod,The idle mussels nods,5
178,verb,0,pl,target_verb_num_pl_att0_sg,hens,arrive,The fast hens,The fast hens arrive,The fast hens arrives,5
179,verb,0,pl,target_verb_num_pl_att0_sg,sparrows,eat,The warm sparrows,The warm sparrows eat,The warm sparrows eats,5
180,verb,0,sg,target_verb_num_sg_att0_pl,bison,stays,The fragile bison,The fragile bison stays,The fragile bison stay,5
181,verb,0,sg,target_verb_num_sg_att0_pl,eel,hops,The slender eel,The slender eel hops,The slender eel hop,5
182,verb,0,pl,target_verb_num_pl_att0_sg,quolls,wheel,The dependable quolls,The dependable quolls wheel,The dependable quolls wheels,5
183,verb,0,sg,target_verb_num_sg_att0_pl,pup,advances,The scarlet pup,The scarlet pup advances,The scarlet pup advance,5
184,verb,0,pl,target_verb_num_pl_att0_sg,carps,hop,The slender carps,The slender carps hop,The slender carps hops,5
185,verb,0,sg,target_verb_num_sg_att0_pl,ibis,bolts,The eager ibis,The eager ibis bolts,The eager ibis bolt,5
186,verb,0,sg,target_verb_num_sg_att0_pl,ibex,sleeps,The brutal ibex,The brutal ibex sleeps,The brutal ibex sleep,5
187,verb,0,pl,target_verb_num_pl_att0_sg,dingos,pause,The murky dingos,The murky dingos pause,The murky dingos pauses,5
188,verb,0,sg,target_verb_num_sg_att0_pl,midge,waits,The social midge,The social midge waits,The social midge wait,5
189,verb,0,sg,target_verb_num_sg_att0_pl,firefly,coils,The elegant firefly,The elegant firefly coils,The elegant firefly coil,5
190,verb,0,sg,target_verb_num_sg_att0_pl,raccoon,sings,The cool raccoon,The cool raccoon sings,The cool raccoon sing,5
191,verb,0,sg,target_verb_num_sg_att0_pl,colt,skips,The black colt,The black colt skips,The black colt skip,5
192,verb,0,pl,target_verb_num_pl_att0_sg,swans,dance,The chilly swans,The chilly swans dance,The chilly swans dances,5
193,verb,0,pl,target_verb_num_pl_att0_sg,quolls,push,The loyal quolls,The loyal quolls push,The loyal quolls pushes,5
194,verb,0,sg,target_verb_num_sg_att0_pl,mongoose,twists,The fickle mongoose,The fickle mongoose twists,The fickle mongoose twist,5
195,verb,0,pl,target_verb_num_pl_att0_sg,hawks,mount,The calm hawks,The calm hawks mount,The calm hawks mounts,5
196,verb,0,pl,target_verb_num_pl_att0_sg,starlings,skip,The juvenile starlings,The juvenile starlings skip,The juvenile starlings skips,5
197,verb,0,pl,target_verb_num_pl_att0_sg,crickets,lean,The dusty crickets,The dusty crickets lean,The dusty crickets leans,5
198,verb,0,sg,target_verb_num_sg_att0_pl,python,approaches,The dewy python,The dewy python approaches,The dewy python approach,5
199,verb,0,pl,target_verb_num_pl_att0_sg,owls,float,The huge owls,The huge owls float,The huge owls floats,5
200,verb,0,pl,target_verb_num_pl_att0_sg,newts,twist,The sad newts,The sad newts twist,The sad newts twists,5
201,verb,0,pl,target_verb_num_pl_att0_sg,starlings,rock,The old starlings,The old starlings rock,The old starlings rocks,5
202,verb,0,pl,target_verb_num_pl_att0_sg,martens,hunt,The smooth martens,The smooth martens hunt,The smooth martens hunts,5
203,verb,0,pl,target_verb_num_pl_att0_sg,minks,return,The furry minks,The furry minks return,The furry minks returns,5
204,verb,0,pl,target_verb_num_pl_att0_sg,herrings,leap,The chubby herrings,The chubby herrings leap,The chubby herrings leaps,5
205,verb,0,pl,target_verb_num_pl_att0_sg,clams,hop,The slender clams,The slender clams hop,The slender clams hops,5
206,verb,0,sg,target_verb_num_sg_att0_pl,hyena,twists,The graceful hyena,The graceful hyena twists,The graceful hyena twist,5
207,verb,0,sg,target_verb_num_sg_att0_pl,weasel,settles,The pale weasel,The pale weasel settles,The pale weasel settle,5
208,verb,0,pl,target_verb_num_pl_att0_sg,trouts,rest,The friendly trouts,The friendly trouts rest,The friendly trouts rests,5
209,verb,0,pl,target_verb_num_pl_att0_sg,newts,spin,The blue newts,The blue newts spin,The blue newts spins,5
210,verb,0,sg,target_verb_num_sg_att0_pl,donkey,charges,The weak donkey,The weak donkey charges,The weak donkey charge,5
211,verb,0,pl,target_verb_num_pl_att0_sg,clams,rest,The friendly clams,The friendly clams rest,The friendly clams rests,5
212,verb,0,pl,target_verb_num_pl_att0_sg,moths,tunnel,The loud moths,The loud moths tunnel,The loud moths tunnels,5
213,verb,0,pl,target_verb_num_pl_att0_sg,herons,arise,The brisk herons,The brisk herons arise,The brisk herons arises,5
214,verb,0,pl,target_verb_num_pl_att0_sg,oysters,sing,The serene oysters,The serene oysters sing,The serene oysters sings,5
215,verb,0,pl,target_verb_num_pl_att0_sg,harriers,surface,The constant harriers,The constant harriers surface,The constant harriers surfaces,5
216,verb,0,pl,target_verb_num_pl_att0_sg,midges,leap,The chubby midges,The chubby midges leap,The chubby midges leaps,5
217,verb,0,sg,target_verb_num_sg_att0_pl,magpie,skips,The juvenile magpie,The juvenile magpie skips,The juvenile magpie skip,5
218,verb,0,sg,target_verb_num_sg_att0_pl,numbat,runs,The harsh numbat,The harsh numbat runs,The harsh numbat run,5
219,verb,0,sg,target_verb_num_sg_att0_pl,bison,reels,The muddy bison,The muddy bison reels,The muddy bison reel,5
220,verb,0,sg,target_verb_num_sg_att0_pl,bass,stamps,The grassy bass,The grassy bass stamps,The grassy bass stamp,5
221,verb,0,pl,target_verb_num_pl_att0_sg,turkeys,stamp,The dirty turkeys,The dirty turkeys stamp,The dirty turkeys stamps,5
222,verb,0,pl,target_verb_num_pl_att0_sg,monitors,stay,The leafy monitors,The leafy monitors stay,The leafy monitors stays,5
223,verb,0,sg,target_verb_num_sg_att0_pl,bison,bounds,The vivid bison,The vivid bison bounds,The vivid bison bound,5
224,verb,0,sg,target_verb_num_sg_att0_pl,gazelle,hops,The bright gazelle,The bright gazelle hops,The bright gazelle hop,5
225,verb,0,sg,target_verb_num_sg_att0_pl,pony,arrives,The puny pony,The puny pony arrives,The puny pony arrive,5
226,verb,0,pl,target_verb_num_pl_att0_sg,crows,rock,The green crows,The green crows rock,The green crows rocks,5
227,verb,0,pl,target_verb_num_pl_att0_sg,starlings,reel,The muddy starlings,The muddy starlings reel,The muddy starlings reels,5
