idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl,set_id,singular_item_id,plural_item_id
56,train,verb,0,target_verb_att0_opp,cock,cocks,pauses,pause,The calm cock,The calm cocks,The calm cock pauses,The calm cock pause,The calm cocks pause,The calm cocks pauses,4,4,d1824136-e55f-42b4-a15b-485a889a04d2,c3dd3252-b6d9-4ea9-b1e4-d25d1726e9b8,0856a339-3f56-408d-a87a-4206fa3fdb63
57,train,verb,0,target_verb_att0_opp,dolphin,dolphins,is,are,The bright dolphin,The bright dolphins,The bright dolphin is,The bright dolphin are,The bright dolphins are,The bright dolphins is,4,4,a264c3d2-45fb-4c78-b3f1-ba7946b160fe,f593eefe-6d00-4259-bade-d601519b94f4,4a82d154-f99d-48bc-bad0-9275b014a931
58,train,verb,0,target_verb_att0_opp,kit,kits,disappears,disappear,The sleepy kit,The sleepy kits,The sleepy kit disappears,The sleepy kit disappear,The sleepy kits disappear,The sleepy kits disappears,4,4,739376f9-6931-4223-8bee-b1e1ecb04943,3eb6694e-a997-4105-acbc-e80961405692,24b75eea-0757-4399-9e8e-dcace79b0ba9
59,train,verb,0,target_verb_att0_opp,pup,pups,pants,pant,The bright pup,The bright pups,The bright pup pants,The bright pup pant,The bright pups pant,The bright pups pants,4,4,bcd89b9a-a70d-4c5f-b660-63b7ccffbaa3,6f3d5340-2804-46df-88e6-7e49bd2f2461,dbf171d8-bf95-423b-94d9-c76341271e3d
60,train,verb,0,target_verb_att0_opp,turtle,turtles,blows,blow,The timid turtle,The timid turtles,The timid turtle blows,The timid turtle blow,The timid turtles blow,The timid turtles blows,4,4,93a0bbb1-1715-4845-9718-72677f9d19f6,8ccc6729-99ac-4586-b168-b3bcf01ed72b,955c3e00-d019-44b2-802a-8258e98c138e
61,train,verb,0,target_verb_att0_opp,monitor,monitors,orbits,orbit,The quiet monitor,The quiet monitors,The quiet monitor orbits,The quiet monitor orbit,The quiet monitors orbit,The quiet monitors orbits,4,4,5bdefbaa-b7e2-4c96-b807-8c7ab7bba58a,f8b7e6f0-6fa8-4f8a-a50e-274e0509fc79,7deb0b59-d628-48f0-bf7b-ec187eb76c40
62,train,verb,0,target_verb_att0_opp,horse,horses,collects,collect,The calm horse,The calm horses,The calm horse collects,The calm horse collect,The calm horses collect,The calm horses collects,4,4,7a2e919e-f582-4513-89f5-8897452cdac0,5b2f18c5-49bb-4c09-83c1-a34a0d7ec0ce,8f94bca7-e1e1-4223-973c-07ea63d99f7c
63,train,verb,0,target_verb_att0_opp,turtle,turtles,is,are,The slender turtle,The slender turtles,The slender turtle is,The slender turtle are,The slender turtles are,The slender turtles is,4,4,462c30ca-3f50-4a76-ac30-adfc46fa6939,31dda963-267f-4841-9108-bc12d03644ea,3c0473e4-7ed6-4db4-a051-9a305001f72f
64,train,verb,0,target_verb_att0_opp,bat,bats,leaves,leave,The nervous bat,The nervous bats,The nervous bat leaves,The nervous bat leave,The nervous bats leave,The nervous bats leaves,4,4,6c9656e7-98dd-4028-9e9f-983c80df09f7,59fd0017-214b-45e6-88f6-968ec59c310b,46a01fbd-5c7d-4f35-a3fe-b70f0ee84b67
65,train,verb,0,target_verb_att0_opp,frog,frogs,nests,nest,The bright frog,The bright frogs,The bright frog nests,The bright frog nest,The bright frogs nest,The bright frogs nests,4,4,0ea69f53-616d-46f3-bd85-9ae457d5ed0a,e4fccb08-5c4e-4191-92f9-06ffdc9eac9a,82aeac64-28ed-4743-b711-c65e9be3e189
66,train,verb,0,target_verb_att0_opp,rabbit,rabbits,patrols,patrol,The quiet rabbit,The quiet rabbits,The quiet rabbit patrols,The quiet rabbit patrol,The quiet rabbits patrol,The quiet rabbits patrols,4,4,1cf4bb55-8626-438c-8876-f4a0ae0d37c5,ecfb842d-539b-4731-a6e7-747219498c61,1327f3cd-1793-4cbf-acde-c9b55b2884b7
67,train,verb,0,target_verb_att0_opp,cock,cocks,grabs,grab,The fuzzy cock,The fuzzy cocks,The fuzzy cock grabs,The fuzzy cock grab,The fuzzy cocks grab,The fuzzy cocks grabs,4,4,9697b6bf-ee1e-4e33-b964-7b94c8d908cd,cb0086b2-ed3b-49f3-82be-9650cf5ae699,2a4dad0a-3c35-42f2-a8b6-d62a32735fa8
68,train,verb,0,target_verb_att0_opp,chick,chicks,freezes,freeze,The nervous chick,The nervous chicks,The nervous chick freezes,The nervous chick freeze,The nervous chicks freeze,The nervous chicks freezes,4,4,8fb30b0d-3bc5-4dc6-8625-3dd27a17f7b4,6731cdf2-dbb5-4636-a97c-6ab79df2dde9,df52d1f8-be30-490d-b07d-23f31982b643
69,train,verb,0,target_verb_att0_opp,monitor,monitors,flies,fly,The sleepy monitor,The sleepy monitors,The sleepy monitor flies,The sleepy monitor fly,The sleepy monitors fly,The sleepy monitors flies,4,4,0c6995a4-5657-4b58-b526-c6206803831d,dbd28544-261d-4bd7-9c44-a42dc81edd6f,20df74b6-dae7-4625-85ca-aaebeddd4401
70,train,verb,0,target_verb_att0_opp,pup,pups,is,are,The quiet pup,The quiet pups,The quiet pup is,The quiet pup are,The quiet pups are,The quiet pups is,4,4,8baa161a-5320-4b3f-b7b2-7a56f668c403,32bcd3ce-2746-462e-ad4c-a88771363ce8,bf047e36-f762-464c-980c-3ffc702dc628
71,train,verb,0,target_verb_att0_opp,kit,kits,bounds,bound,The small kit,The small kits,The small kit bounds,The small kit bound,The small kits bound,The small kits bounds,4,4,1ec51977-8b94-484d-bfbb-4d1fad9743af,29a6e5d0-f7be-45f4-b28e-753dbe9f3219,a1de8c7b-e107-4233-aacb-0fb81b18b2a9
72,train,verb,0,target_verb_att0_opp,dog,dogs,is,are,The bright dog,The bright dogs,The bright dog is,The bright dog are,The bright dogs are,The bright dogs is,4,4,b4d29f2e-d45d-4216-aa53-5f1d9f469f3b,35fc3a22-b147-4d21-b8df-c12101ca8172,eed4a769-af6f-4923-a4e3-c1de779e0d92
73,train,verb,0,target_verb_att0_opp,kit,kits,backs,back,The sleepy kit,The sleepy kits,The sleepy kit backs,The sleepy kit back,The sleepy kits back,The sleepy kits backs,4,4,5e5b3f40-c0f2-4871-ba92-c560f8895e5c,7e9330de-5767-49b2-bcc0-23d2e8ea50d7,99683050-0360-4ad1-8833-65b7830cb8ee
74,train,verb,0,target_verb_att0_opp,turtle,turtles,is,are,The timid turtle,The timid turtles,The timid turtle is,The timid turtle are,The timid turtles are,The timid turtles is,4,4,96dcc5f1-988b-4268-937c-9f3d3aca4218,3e81fbcb-826c-44f7-9c8e-ea81d4f04294,a44855d8-ec60-4365-9c6c-c59997a4f983
75,train,verb,0,target_verb_att0_opp,lion,lions,bites,bite,The bright lion,The bright lions,The bright lion bites,The bright lion bite,The bright lions bite,The bright lions bites,4,4,4f1dece3-8fef-42fe-9a42-4e3d2d1c03d1,06cac43f-f59f-46ea-9a37-80ee50ca9889,29f50b6a-f5f8-4046-aa69-674b166c06e9
76,train,verb,0,target_verb_att0_opp,doe,does,slides,slide,The small doe,The small does,The small doe slides,The small doe slide,The small does slide,The small does slides,4,4,ad413e9c-a6b1-4a01-a4fd-d84b9109910e,741ed59a-58de-4c98-880a-4718916ba2f2,28a9e150-2ffb-422d-897f-72b51c1f2f30
77,train,verb,0,target_verb_att0_opp,rabbit,rabbits,displays,display,The fuzzy rabbit,The fuzzy rabbits,The fuzzy rabbit displays,The fuzzy rabbit display,The fuzzy rabbits display,The fuzzy rabbits displays,4,4,82c8aad0-c6e8-4b8d-b9f2-832d5b3d5ada,6c6545d1-2124-4391-80ee-29def4442443,81753820-2db7-46c3-968e-8592e823e7b2
78,train,verb,0,target_verb_att0_opp,frog,frogs,encounters,encounter,The quiet frog,The quiet frogs,The quiet frog encounters,The quiet frog encounter,The quiet frogs encounter,The quiet frogs encounters,4,4,f59e2f94-e49c-43cf-9256-89f5a7df2ec8,7ab83951-6e13-4e29-917e-a030330722a3,74d4ab5d-5dce-4239-8e35-0b16d5d62e38
79,train,verb,0,target_verb_att0_opp,rabbit,rabbits,is,are,The nervous rabbit,The nervous rabbits,The nervous rabbit is,The nervous rabbit are,The nervous rabbits are,The nervous rabbits is,4,4,33fa336d-004b-4db7-9a5a-4a8b2ac799c1,5d937f5f-6cbc-40cb-ace4-fba4e41e8839,7dc422ef-0dbf-48ce-bc7c-a0839baec76f
80,train,verb,0,target_verb_att0_opp,frog,frogs,drinks,drink,The timid frog,The timid frogs,The timid frog drinks,The timid frog drink,The timid frogs drink,The timid frogs drinks,4,4,62863f1c-36f7-47ad-aa57-4ec9982c021c,06fc5061-4aec-4cc7-9400-3cffac9b90b6,aa3ac9e6-5041-4a6b-95d8-b666a238d811
