idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl,set_id,singular_item_id,plural_item_id
26,test,verb,0,target_verb_att0_opp,[wug],[wugs],enters,enter,The shy [wug],The shy [wugs],The shy [wug] enters,The shy [wug] enter,The shy [wugs] enter,The shy [wugs] enters,7,7,b72e3445-1514-420f-9395-caa6e9a06a6e,c0f8fef6-6c61-456f-808a-d8e403079501,e57501f3-87a6-4c99-ba75-048454c3934d
27,test,verb,0,target_verb_att0_opp,[wug],[wugs],stares,stare,The fierce [wug],The fierce [wugs],The fierce [wug] stares,The fierce [wug] stare,The fierce [wugs] stare,The fierce [wugs] stares,7,7,ce0441cc-3304-4de3-a6cf-3fe5abc1997e,515580fb-b9e3-4957-90b2-8401516490a5,495b6482-e6c8-4f78-b363-1281a9a8960d
28,test,verb,0,target_verb_att0_opp,[wug],[wugs],hides,hide,The fierce [wug],The fierce [wugs],The fierce [wug] hides,The fierce [wug] hide,The fierce [wugs] hide,The fierce [wugs] hides,7,7,5cee5e30-ba2a-467b-b7c8-9eb6da194a56,7f0cdf8b-064c-499e-9bd1-d316ffe407a3,dbeb32c8-0a63-421e-bf1d-f6233c69cffb
29,test,verb,0,target_verb_att0_opp,[wug],[wugs],shares,share,The lively [wug],The lively [wugs],The lively [wug] shares,The lively [wug] share,The lively [wugs] share,The lively [wugs] shares,7,7,23b3e2b3-8085-49ed-8a8e-9c2d9567ca35,2b076365-1883-493c-b7f7-f64486566771,a0bd3655-4b45-4d04-a1eb-2da27e931892
30,test,verb,0,target_verb_att0_opp,[wug],[wugs],lands,land,The clumsy [wug],The clumsy [wugs],The clumsy [wug] lands,The clumsy [wug] land,The clumsy [wugs] land,The clumsy [wugs] lands,7,7,049fbf29-5e35-46ee-9b84-b5da95b625d5,61797b67-01b3-465b-9f56-6fc238cffb95,19782774-1ee3-46a5-a8c1-708e97e69aa2
31,test,verb,0,target_verb_att0_opp,[wug],[wugs],threads,thread,The shy [wug],The shy [wugs],The shy [wug] threads,The shy [wug] thread,The shy [wugs] thread,The shy [wugs] threads,7,7,11e373f5-d4cb-418c-9bd4-32f6784b43d2,6e69bb36-edad-4999-8bda-db2b2035cc82,3886f635-4e4d-4b46-8b12-b53d06a56e23
32,test,verb,0,target_verb_att0_opp,[wug],[wugs],touches,touch,The clumsy [wug],The clumsy [wugs],The clumsy [wug] touches,The clumsy [wug] touch,The clumsy [wugs] touch,The clumsy [wugs] touches,7,7,fbb9e4a3-b8fd-4a70-823d-e51c83839637,6b2422aa-4b6c-42c6-914e-e920916d59f8,cb5a466a-bdfb-4dce-ab67-df37ee4d295f
33,test,verb,0,target_verb_att0_opp,[wug],[wugs],banks,bank,The lively [wug],The lively [wugs],The lively [wug] banks,The lively [wug] bank,The lively [wugs] bank,The lively [wugs] banks,7,7,90d61558-0296-46ca-92fd-51e291da11fc,3b417a39-7504-4fab-9569-39ac879898a2,ca79d235-9594-456c-a794-daaaaccfb40b
34,test,verb,0,target_verb_att0_opp,[wug],[wugs],presses,press,The curious [wug],The curious [wugs],The curious [wug] presses,The curious [wug] press,The curious [wugs] press,The curious [wugs] presses,7,7,a592a444-0120-4b1d-85be-65dac50e339f,c3672761-acef-485e-8bd8-80d339d2504f,b21caafa-41c0-4779-96ac-35ae755b1ed3
35,test,verb,0,target_verb_att0_opp,[wug],[wugs],emerges,emerge,The shy [wug],The shy [wugs],The shy [wug] emerges,The shy [wug] emerge,The shy [wugs] emerge,The shy [wugs] emerges,7,7,84c7d454-96c2-4979-a276-7e9d56e60d31,8f07e2d7-ef7c-4f28-a8de-f96c7e66d272,809c0efd-0135-4611-8c3e-b9998d07a7b9
36,test,verb,0,target_verb_att0_opp,[wug],[wugs],ducks,duck,The curious [wug],The curious [wugs],The curious [wug] ducks,The curious [wug] duck,The curious [wugs] duck,The curious [wugs] ducks,7,7,cdf53375-b11f-4a89-abe3-83e850357323,ac6b42df-2b82-4430-b3ec-8f6deaf95b3d,7051a689-fe52-4644-ae7c-96fed17628dc
37,test,verb,0,target_verb_att0_opp,[wug],[wugs],sails,sail,The spotted [wug],The spotted [wugs],The spotted [wug] sails,The spotted [wug] sail,The spotted [wugs] sail,The spotted [wugs] sails,7,7,67822a21-5024-41a5-bbb8-9b9e7f7d2b5b,365758b8-f490-4afc-aac8-adc4ce249752,471190b4-4fef-4e5a-840a-526bbf274910
38,test,verb,0,target_verb_att0_opp,[wug],[wugs],poses,pose,The wary [wug],The wary [wugs],The wary [wug] poses,The wary [wug] pose,The wary [wugs] pose,The wary [wugs] poses,7,7,0438f2f5-5f90-4b0f-9cdb-7fb0300d7a95,310cbada-78f7-4159-957d-2dde70beb091,f744f8ab-a1dc-411b-bbb2-0c60ab3cb308
39,test,verb,0,target_verb_att0_opp,[wug],[wugs],investigates,investigate,The clumsy [wug],The clumsy [wugs],The clumsy [wug] investigates,The clumsy [wug] investigate,The clumsy [wugs] investigate,The clumsy [wugs] investigates,7,7,73341d23-bfd6-41fc-a270-fe9e2e743f0c,0c1b7c6f-ef22-46f9-ae70-b2dd6a627e15,c4a402f5-bb5d-4a8f-af66-7ad53742737c
40,test,verb,0,target_verb_att0_opp,[wug],[wugs],carries,carry,The round [wug],The round [wugs],The round [wug] carries,The round [wug] carry,The round [wugs] carry,The round [wugs] carries,7,7,b1f74849-6629-4c07-b2eb-73899f8b91dd,67f4a74a-23ae-40dc-8e39-20cf23dc8566,bad20ada-e370-423e-9354-69eb4bf2494a
41,test,verb,0,target_verb_att0_opp,[wug],[wugs],scratches,scratch,The curious [wug],The curious [wugs],The curious [wug] scratches,The curious [wug] scratch,The curious [wugs] scratch,The curious [wugs] scratches,7,7,ea5185a6-2a15-4b0f-82cb-95fb9b9a34ca,06c22805-cfcc-48de-8df5-82795a230485,98129321-367b-45f7-8f6e-dc7a5a55771a
42,test,verb,0,target_verb_att0_opp,[wug],[wugs],raises,raise,The bold [wug],The bold [wugs],The bold [wug] raises,The bold [wug] raise,The bold [wugs] raise,The bold [wugs] raises,7,7,cb74c682-173a-4e23-8321-20938b495558,465588d0-b83f-4b56-9c46-258a6aa9a09a,4f2cc6fd-ff50-4dfa-b5c2-d51eaf9a8142
43,test,verb,0,target_verb_att0_opp,[wug],[wugs],seems,seem,The tiny [wug],The tiny [wugs],The tiny [wug] seems,The tiny [wug] seem,The tiny [wugs] seem,The tiny [wugs] seems,7,7,24308b8a-a3ef-4093-828b-25b7e3a53166,de0a2eff-b477-4ada-b882-ff8ebebb2781,d4fc2842-e127-4dbd-b038-b59aecb7a25a
44,test,verb,0,target_verb_att0_opp,[wug],[wugs],defends,defend,The wary [wug],The wary [wugs],The wary [wug] defends,The wary [wug] defend,The wary [wugs] defend,The wary [wugs] defends,7,7,e334a664-8c3e-4d1c-80ea-886de3decfc6,0818eb05-0972-4018-84d4-039854d31770,ee1d204c-b30b-4b4d-ab40-2686332dc4fd
45,test,verb,0,target_verb_att0_opp,[wug],[wugs],banks,bank,The wary [wug],The wary [wugs],The wary [wug] banks,The wary [wug] bank,The wary [wugs] bank,The wary [wugs] banks,7,7,0363f81e-d70d-4560-a375-e1e2aefcb7dc,78e60f4b-96c4-4096-84bc-564c303fa159,0e7ffe0a-dd15-4634-a1f8-60716c5c736a
46,test,verb,0,target_verb_att0_opp,[wug],[wugs],lands,land,The graceful [wug],The graceful [wugs],The graceful [wug] lands,The graceful [wug] land,The graceful [wugs] land,The graceful [wugs] lands,7,7,b6d0c6df-ae6c-4457-870a-8e1d8f9d1be3,f08265e4-bf23-4500-8a8d-3ed76761167d,9d9a3e4b-494c-4831-b89d-869c73ea22bb
47,test,verb,0,target_verb_att0_opp,[wug],[wugs],stacks,stack,The curious [wug],The curious [wugs],The curious [wug] stacks,The curious [wug] stack,The curious [wugs] stack,The curious [wugs] stacks,7,7,42e228d1-593d-4f53-83f9-ccdc6fa6ee3d,915510eb-4c90-4f2a-a213-95581d8462e2,7593e07d-2a8a-46e5-be88-479bafebd2db
48,test,verb,0,target_verb_att0_opp,[wug],[wugs],stares,stare,The graceful [wug],The graceful [wugs],The graceful [wug] stares,The graceful [wug] stare,The graceful [wugs] stare,The graceful [wugs] stares,7,7,0509170c-6d2e-4220-be43-156d0c833e07,3f25852c-6ec4-4fbd-835b-96977d2d02f8,d7f2913a-5704-46ad-b1e5-1cd4a2667af3
49,test,verb,0,target_verb_att0_opp,[wug],[wugs],sleeps,sleep,The clever [wug],The clever [wugs],The clever [wug] sleeps,The clever [wug] sleep,The clever [wugs] sleep,The clever [wugs] sleeps,7,7,ca31f1bf-b209-4131-9ef3-b0a3eee1e23d,3fb3b851-a7c7-4359-821d-f44139ac6dd0,08208963-73fe-419e-bfe4-b48291e2e1e7
50,test,verb,0,target_verb_att0_opp,[wug],[wugs],lifts,lift,The round [wug],The round [wugs],The round [wug] lifts,The round [wug] lift,The round [wugs] lift,The round [wugs] lifts,7,7,fc76ae7b-63f5-4a65-9f47-61adc6ef78c2,d783f28c-803c-40a2-b54f-86010a96046e,5a8f69f3-10a5-4514-a28d-6aaa571d4498
51,test,verb,0,target_verb_att0_opp,[wug],[wugs],seems,seem,The curious [wug],The curious [wugs],The curious [wug] seems,The curious [wug] seem,The curious [wugs] seem,The curious [wugs] seems,7,7,85b99bd4-2cb6-473f-9b2e-19920787e416,01612bad-bd7a-46ae-90f9-4ca10012a5b0,6fa35993-0042-41c4-8c4d-d8907901df3a
52,test,verb,0,target_verb_att0_opp,[wug],[wugs],balances,balance,The restless [wug],The restless [wugs],The restless [wug] balances,The restless [wug] balance,The restless [wugs] balance,The restless [wugs] balances,7,7,a417e598-1f80-4c66-aa1f-6ce69f4d4371,7a59ebed-9fd7-4a93-896a-75191e280db5,a8a6aafb-b132-4bac-8d9d-c24cc5a5acb9
53,test,verb,0,target_verb_att0_opp,[wug],[wugs],sits,sit,The curious [wug],The curious [wugs],The curious [wug] sits,The curious [wug] sit,The curious [wugs] sit,The curious [wugs] sits,7,7,823e7a8f-1aa9-4f5d-8f3c-9cdecabb3bc8,ba4f6fc3-60b6-4507-b78e-ea9cf1cadad3,fd1dd8cc-53e8-403e-a3e8-4613f615cdf5
54,test,verb,0,target_verb_att0_opp,[wug],[wugs],picks,pick,The bold [wug],The bold [wugs],The bold [wug] picks,The bold [wug] pick,The bold [wugs] pick,The bold [wugs] picks,7,7,972ff862-15ba-4f55-90e1-b51c42936769,0014eb9f-fea2-4fc6-ab9c-684af752e3c6,0a7ece1a-ffec-4451-b606-e68ba556f1bd
55,test,verb,0,target_verb_att0_opp,[wug],[wugs],flips,flip,The fierce [wug],The fierce [wugs],The fierce [wug] flips,The fierce [wug] flip,The fierce [wugs] flip,The fierce [wugs] flips,7,7,bbb29626-a95f-44ab-8423-ab897e3a9ef4,711e5614-c94e-4e99-8537-66c198a91e38,d7b0e0c0-417f-4838-9854-fd35d2221e2f
56,test,verb,0,target_verb_att0_opp,[wug],[wugs],taps,tap,The clumsy [wug],The clumsy [wugs],The clumsy [wug] taps,The clumsy [wug] tap,The clumsy [wugs] tap,The clumsy [wugs] taps,7,7,63d168dc-3346-4361-a223-1fa96cfb31e2,c049aa23-8ba1-4bdc-9fa3-3117d549a469,08a9c7d6-9bec-43be-9ada-3b8c4bdbf2c6
57,test,verb,0,target_verb_att0_opp,[wug],[wugs],challenges,challenge,The spotted [wug],The spotted [wugs],The spotted [wug] challenges,The spotted [wug] challenge,The spotted [wugs] challenge,The spotted [wugs] challenges,7,7,d99ad8a4-8a34-4096-b96b-6531f53ae714,a8ed9ddf-b600-4288-a1e6-5f33ccfa0ba4,56e73886-0384-4cd0-af4a-745ebb7d69a4
58,test,verb,0,target_verb_att0_opp,[wug],[wugs],emerges,emerge,The strange [wug],The strange [wugs],The strange [wug] emerges,The strange [wug] emerge,The strange [wugs] emerge,The strange [wugs] emerges,7,7,8c277a74-e7cc-40c3-896b-1c56df7e7168,ef9481ab-8d0c-4a15-9bcb-4aa23ef73599,4fd88383-a591-43d7-a310-270bc4ef2104
59,test,verb,0,target_verb_att0_opp,[wug],[wugs],calls,call,The clumsy [wug],The clumsy [wugs],The clumsy [wug] calls,The clumsy [wug] call,The clumsy [wugs] call,The clumsy [wugs] calls,7,7,4306ca98-27e3-46b0-bf10-cb11d495302c,77cfa9fc-096f-4e72-83a7-de44e9c2634c,7c2142a6-2523-418b-9a65-dcd035c7aed9
60,test,verb,0,target_verb_att0_opp,[wug],[wugs],waves,wave,The sturdy [wug],The sturdy [wugs],The sturdy [wug] waves,The sturdy [wug] wave,The sturdy [wugs] wave,The sturdy [wugs] waves,7,7,2fec53dd-ee14-4986-9f22-23a4fb098bb4,be768258-47de-4a18-9f2c-ce45808c4bc2,281b4068-ec95-40f3-bd96-4f54fd705a23
61,test,verb,0,target_verb_att0_opp,[wug],[wugs],roots,root,The shy [wug],The shy [wugs],The shy [wug] roots,The shy [wug] root,The shy [wugs] root,The shy [wugs] roots,7,7,33e1b4de-685c-4863-8940-2c62b97b4a1f,f478a3dd-5b4b-4373-89a0-9b9c3cdfdc43,4db08d29-595b-4c99-8238-0aecd6b006a0
62,test,verb,0,target_verb_att0_opp,[wug],[wugs],circles,circle,The round [wug],The round [wugs],The round [wug] circles,The round [wug] circle,The round [wugs] circle,The round [wugs] circles,7,7,477d821e-962a-4cff-97f7-e651fc6de6c1,b17333f9-4728-47b6-b15f-a12831c6b960,b48add7a-bd12-4990-a2ec-e0515f674f86
63,test,verb,0,target_verb_att0_opp,[wug],[wugs],raises,raise,The wary [wug],The wary [wugs],The wary [wug] raises,The wary [wug] raise,The wary [wugs] raise,The wary [wugs] raises,7,7,4fc8a495-c957-4e33-902e-8492111ac7a8,874f0034-e297-4d4b-b08e-2c672b289d50,aa10b71f-00c4-4775-8951-31cb4993a75e
64,test,verb,0,target_verb_att0_opp,[wug],[wugs],emerges,emerge,The curious [wug],The curious [wugs],The curious [wug] emerges,The curious [wug] emerge,The curious [wugs] emerge,The curious [wugs] emerges,7,7,aa00f570-e2ef-4ca4-925b-f8b5b433d512,b045357f-8834-4d97-ac53-becaf84b3627,a18aa1f2-66b8-42a0-bc47-7fcb4d630545
65,test,verb,0,target_verb_att0_opp,[wug],[wugs],stacks,stack,The gentle [wug],The gentle [wugs],The gentle [wug] stacks,The gentle [wug] stack,The gentle [wugs] stack,The gentle [wugs] stacks,7,7,ac313752-ee5e-4e1e-a0fe-b8f2fd1e1269,644c1228-904c-4176-9cac-0c360b702e5e,9a6c97de-8800-48e0-8d34-b576af2d4395
66,test,verb,0,target_verb_att0_opp,[wug],[wugs],rows,row,The wary [wug],The wary [wugs],The wary [wug] rows,The wary [wug] row,The wary [wugs] row,The wary [wugs] rows,7,7,ac366a78-99a0-4a36-b233-dcd54b537f7e,f48bf92b-ac91-453a-a9da-f0b3203c7598,0736c450-eca7-4cb6-ae9f-8faf5f6f9d7b
67,test,verb,0,target_verb_att0_opp,[wug],[wugs],tastes,taste,The spotted [wug],The spotted [wugs],The spotted [wug] tastes,The spotted [wug] taste,The spotted [wugs] taste,The spotted [wugs] tastes,7,7,3dd128d7-699f-494c-a59d-fb2a71558c59,77cbb5ba-ff07-4b25-8c99-ed64b52c9f00,501df896-9277-4877-b9ee-48057c069129
68,test,verb,0,target_verb_att0_opp,[wug],[wugs],balances,balance,The gentle [wug],The gentle [wugs],The gentle [wug] balances,The gentle [wug] balance,The gentle [wugs] balance,The gentle [wugs] balances,7,7,213d955c-1d52-4eaa-be4b-77a399bbb8ed,e6f8b704-4495-44f9-9ed1-4893ace68c6e,c165fa43-6ebc-4539-a205-3726735f77a3
69,test,verb,0,target_verb_att0_opp,[wug],[wugs],ducks,duck,The clever [wug],The clever [wugs],The clever [wug] ducks,The clever [wug] duck,The clever [wugs] duck,The clever [wugs] ducks,7,7,08563b69-72a7-438f-a479-24af906746ae,c9d675bb-8761-48eb-b291-723566b4d91e,2cb7f7f5-2856-4b4d-adad-80f596da92d8
70,test,verb,0,target_verb_att0_opp,[wug],[wugs],lifts,lift,The strange [wug],The strange [wugs],The strange [wug] lifts,The strange [wug] lift,The strange [wugs] lift,The strange [wugs] lifts,7,7,7c862a0c-0259-4569-a90d-c6509e99a502,9fdceedc-4612-42ce-b7e2-5d8dd2c89ecf,bb97cd88-43e6-4d1e-9075-fbdf02544ff9
71,test,verb,0,target_verb_att0_opp,[wug],[wugs],digs,dig,The clever [wug],The clever [wugs],The clever [wug] digs,The clever [wug] dig,The clever [wugs] dig,The clever [wugs] digs,7,7,7ed97f8a-146f-437f-9aab-4b8acac60b38,fb9e3ab6-4053-46a7-b7d3-8db7caff3355,26df9053-47dd-4617-9874-271dbaab06d2
72,test,verb,0,target_verb_att0_opp,[wug],[wugs],recognizes,recognize,The round [wug],The round [wugs],The round [wug] recognizes,The round [wug] recognize,The round [wugs] recognize,The round [wugs] recognizes,7,7,63c6206e-144a-4690-80b6-3a78c80ed976,b6172dcb-dbae-413c-8406-958608501806,e2e301f3-6122-4a87-bed7-2dc1d33efd8e
73,test,verb,0,target_verb_att0_opp,[wug],[wugs],escorts,escort,The sturdy [wug],The sturdy [wugs],The sturdy [wug] escorts,The sturdy [wug] escort,The sturdy [wugs] escort,The sturdy [wugs] escorts,7,7,6e264b61-170b-47a4-bf5a-ad0aae07c2d1,1ed2aeb6-1185-4d87-9029-1c9bc0511407,6df16415-9c05-4b00-8938-1054e7a52db7
74,test,verb,0,target_verb_att0_opp,[wug],[wugs],dashes,dash,The strange [wug],The strange [wugs],The strange [wug] dashes,The strange [wug] dash,The strange [wugs] dash,The strange [wugs] dashes,7,7,d6873205-06da-4c51-96d7-ad5a740fcd04,6af8e057-000e-41a2-b1e2-86570515e45d,860af39a-c04e-42ee-bee4-32f86cc0c385
75,test,verb,0,target_verb_att0_opp,[wug],[wugs],builds,build,The bold [wug],The bold [wugs],The bold [wug] builds,The bold [wug] build,The bold [wugs] build,The bold [wugs] builds,7,7,056fbf87-d496-487d-8fcb-6db4dbb80f4b,a41c580f-41e3-45d8-988b-353a9bb31842,6162cea8-8483-4a06-bf95-3f9469d1d119
