epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,6.577103614807129,5.220600605010986,59.91600251197815,60.162042236328126,1.078125,1.078125,1.0794202089309692,1.4296875,0.1259765625, doors | <tool_response> | 캤 | 갘 | 괙, dogs |  chairs |  |  | 䨺,0.44117647409439087,0.1764705926179886,0.7058823704719543
12,,0.20984959602355957,0.2380199432373047,27.349983723958335,26.447916666666668,1.0859375,1.0859375,1.0794202089309692,1.4140625,0.1435546875,캤 | <tool_response> | ᕯ | 괙 | ﰴ, |  |  chairs |  dogs | 䨺,0.5336134433746338,0.27731093764305115,0.7899159789085388
13,,0.17477016150951385,0.227122500538826,22.1123046875,20.477083333333333,1.078125,1.078125,1.0794202089309692,1.4140625,0.142578125,<tool_response> | ᕯ | 캤 | 괙 | ﰴ, |  |  chairs |  dogs | 䨺,0.5378151535987854,0.29411765933036804,0.7815126180648804
14,,0.18635442852973938,0.17169895768165588,21.862679036458335,20.320833333333333,1.078125,1.078125,1.0794202089309692,1.4140625,0.1416015625,캤 | <tool_response> | ᕯ | 괙 | ﰴ, |  |  chairs |  dogs | 䨺,0.529411792755127,0.2521008551120758,0.8067227005958557
15,,0.19619084894657135,0.10941436141729355,18.2984375,15.907291666666667,1.078125,1.078125,1.0794202089309692,1.4140625,0.140625,ᕯ | <tool_response> | 캤 | 괙 | 괞, |  |  dogs |  chairs | 䨺,0.5336134433746338,0.22689075767993927,0.8403361439704895
16,,0.12251575291156769,0.14180539548397064,16.910884602864584,15.240104166666667,1.078125,1.078125,1.0794202089309692,1.421875,0.1396484375,ᕯ | <tool_response> | 캤 | 괙 | ﰴ, |  |  dogs |  chairs | 䨺,0.5336134433746338,0.2521008551120758,0.8151260614395142
17,,0.08455129712820053,0.12649327516555786,13.016097005208334,11.9625,1.078125,1.078125,1.0794202089309692,1.421875,0.138671875,캤 | ᕯ | <tool_response> | 괙 | 괞, |  |  dogs |  chairs | 䨺,0.5462185144424438,0.2857142984867096,0.8067227005958557
18,,0.07810209691524506,0.1102798730134964,13.0562744140625,12.616145833333333,1.078125,1.078125,1.0794202089309692,1.421875,0.13671875,캤 | ᕯ | <tool_response> | 괙 | 잪, |  |  chairs |  dogs | 䨺,0.5546218752861023,0.2689075767993927,0.8403361439704895
19,,0.10219381749629974,0.07230398803949356,11.962589518229167,11.35625,1.078125,1.0859375,1.0794202089309692,1.421875,0.134765625,ᕯ | 캤 | <tool_response> | 괙 | ﰴ, |  |  dogs |  chairs | 䨺,0.5630252361297607,0.23529411852359772,0.8907563090324402
20,,0.0545007660984993,0.11893075704574585,9.938346354166667,9.74296875,1.078125,1.078125,1.0794202089309692,1.421875,0.1337890625,ᕯ | 캤 | <tool_response> | 괙 | 잪, |  |  dogs |  chairs | 䨺,0.5588235259056091,0.2857142984867096,0.831932783126831
21,,0.07683955132961273,0.06647147238254547,10.405745442708334,10.0828125,1.078125,1.078125,1.0794202089309692,1.421875,0.1328125,ᕯ | 캤 | <tool_response> | 괙 | 괞, |  |  dogs |  chairs | 䨺,0.5672268867492676,0.26050421595573425,0.8739495873451233
22,,0.09612789005041122,0.03824464976787567,8.624918619791666,8.397395833333333,1.0859375,1.078125,1.0794202089309692,1.421875,0.1298828125,ᕯ | 캤 | <tool_response> | 괙 | 갘, |  |  dogs |  chairs | 䨺,0.5630252361297607,0.24369747936725616,0.8823529481887817
23,,0.060696523636579514,0.05299126356840134,8.137333170572917,7.883333333333334,1.078125,1.078125,1.0794202089309692,1.4296875,0.1279296875,ᕯ | 캤 | <tool_response> | 괙 | 괞, |  |  dogs |  chairs | 䨺,0.5840336084365845,0.2857142984867096,0.8823529481887817
